family,value,topology,trial,beta,gamma,fraction,strategy,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
ws_rewire,0.01,WS,5,0.02,0.05,0.05,degree,,,0.0,0.0,14.0,0.042,1008.0,0.064,2156.0,2092.0,37.0,183.0,0.05
ws_rewire,0.01,WS,5,0.02,0.05,0.05,betweenness,,,0.0,0.0,26.0,0.052,853.0,0.082,1883.0,1801.0,47.0,99.0,0.05
ws_rewire,0.01,WS,5,0.02,0.05,0.05,pagerank,,,0.0,0.0,19.0,0.045,1139.0,0.063,1719.0,1656.0,40.0,152.0,0.05
ws_rewire,0.01,WS,5,0.02,0.05,0.05,eigenvector,,,0.0,0.0,10.0,0.024,467.0,0.052,1210.0,1158.0,19.0,135.0,0.05
ws_rewire,0.01,WS,5,0.02,0.05,0.05,kcore,,,0.0,0.0,15.0,0.032,571.0,0.06,1236.0,1176.0,27.0,84.0,0.05
ws_rewire,0.01,WS,5,0.02,0.05,0.05,collective_influence,,,0.0,0.0,9.0,0.028,495.0,0.059,1327.0,1268.0,23.0,87.0,0.05
ws_rewire,0.01,WS,5,0.02,0.05,0.05,community_bridge,,,0.0,0.0,5.0,0.016,207.0,0.041,638.0,597.0,11.0,74.0,0.05
ws_rewire,0.01,WS,4,0.15,0.05,0.05,random,10.0,40.0,1.0,1.0,257.0,0.924,19258.0,0.923,6990.0,6067.0,919.0,242.0,0.05
ws_rewire,0.01,WS,4,0.15,0.05,0.05,degree,14.0,,1.0,0.0,121.0,0.452,8530.0,0.463,3437.0,2974.0,447.0,169.0,0.05
ws_rewire,0.01,WS,4,0.15,0.05,0.05,betweenness,14.0,71.0,1.0,1.0,142.0,0.942,18450.0,0.942,6775.0,5833.0,937.0,324.0,0.05
ws_rewire,0.01,WS,4,0.15,0.05,0.05,pagerank,15.0,148.0,1.0,1.0,135.0,0.581,12034.0,0.584,4420.0,3836.0,576.0,311.0,0.05
ws_rewire,0.01,WS,4,0.15,0.05,0.05,eigenvector,10.0,40.0,1.0,1.0,256.0,0.851,16850.0,0.85,6223.0,5373.0,846.0,202.0,0.05
ws_rewire,0.01,WS,4,0.15,0.05,0.05,kcore,11.0,71.0,1.0,1.0,137.0,0.686,13396.0,0.686,4998.0,4312.0,681.0,267.0,0.05
ws_rewire,0.01,WS,4,0.15,0.05,0.05,collective_influence,18.0,96.0,1.0,1.0,139.0,0.664,13663.0,0.662,4903.0,4241.0,659.0,277.0,0.05
ws_rewire,0.01,WS,4,0.15,0.05,0.05,community_bridge,11.0,74.0,1.0,1.0,136.0,0.772,15736.0,0.77,5840.0,5070.0,767.0,253.0,0.05
ws_rewire,0.01,WS,4,0.02,0.05,0.05,random,,,0.0,0.0,8.0,0.013,218.0,0.038,494.0,456.0,8.0,67.0,0.05
ws_rewire,0.01,WS,4,0.02,0.05,0.05,degree,,,0.0,0.0,12.0,0.033,644.0,0.06,1673.0,1613.0,28.0,98.0,0.05
ws_rewire,0.01,WS,4,0.02,0.05,0.05,betweenness,,,0.0,0.0,14.0,0.035,672.0,0.056,1804.0,1748.0,30.0,122.0,0.05
ws_rewire,0.01,WS,4,0.02,0.05,0.05,pagerank,,,0.0,0.0,18.0,0.054,1119.0,0.087,2882.0,2795.0,49.0,123.0,0.05
ws_rewire,0.01,WS,4,0.02,0.05,0.05,eigenvector,,,0.0,0.0,20.0,0.063,1396.0,0.102,2869.0,2767.0,58.0,239.0,0.05
ws_rewire,0.01,WS,4,0.02,0.05,0.05,kcore,,,0.0,0.0,15.0,0.037,604.0,0.072,1704.0,1632.0,32.0,65.0,0.05
ws_rewire,0.01,WS,4,0.02,0.05,0.05,collective_influence,,,0.0,0.0,12.0,0.023,382.0,0.052,1145.0,1093.0,18.0,53.0,0.05
ws_rewire,0.01,WS,4,0.02,0.05,0.05,community_bridge,,,0.0,0.0,9.0,0.017,226.0,0.044,612.0,568.0,12.0,53.0,0.05
ws_rewire,0.01,WS,3,0.15,0.05,0.05,random,10.0,35.0,1.0,1.0,285.0,0.941,18725.0,0.941,6890.0,5949.0,936.0,202.0,0.05
ws_rewire,0.01,WS,3,0.15,0.05,0.05,degree,12.0,70.0,1.0,1.0,158.0,0.825,15937.0,0.825,5908.0,5083.0,820.0,221.0,0.05
ws_rewire,0.01,WS,3,0.15,0.05,0.05,betweenness,11.0,51.0,1.0,1.0,176.0,0.841,16312.0,0.844,6040.0,5196.0,836.0,222.0,0.05
ws_rewire,0.01,WS,3,0.15,0.05,0.05,pagerank,16.0,124.0,1.0,1.0,103.0,0.751,14885.0,0.758,5666.0,4908.0,746.0,293.0,0.05
ws_rewire,0.01,WS,3,0.15,0.05,0.05,eigenvector,10.0,37.0,1.0,1.0,279.0,0.941,19595.0,0.94,6759.0,5819.0,936.0,205.0,0.05
ws_rewire,0.01,WS,3,0.15,0.05,0.05,kcore,15.0,122.0,1.0,1.0,105.0,0.785,16441.0,0.797,5789.0,4992.0,780.0,276.0,0.05
ws_rewire,0.01,WS,3,0.15,0.05,0.05,collective_influence,14.0,70.0,1.0,1.0,175.0,0.95,18665.0,0.945,6955.0,6010.0,945.0,276.0,0.05
ws_rewire,0.01,WS,3,0.15,0.05,0.05,community_bridge,13.0,95.0,1.0,1.0,131.0,0.656,12649.0,0.656,4738.0,4082.0,651.0,260.0,0.05
ws_rewire,0.01,WS,3,0.02,0.05,0.05,random,,,0.0,0.0,11.0,0.02,380.0,0.052,1261.0,1209.0,15.0,72.0,0.05
ws_rewire,0.01,WS,3,0.02,0.05,0.05,degree,,,0.0,0.0,9.0,0.042,878.0,0.068,1766.0,1698.0,37.0,166.0,0.05
ws_rewire,0.01,WS,3,0.02,0.05,0.05,betweenness,,,0.0,0.0,19.0,0.074,1646.0,0.107,3964.0,3857.0,69.0,369.0,0.05
ws_rewire,0.01,WS,3,0.02,0.05,0.05,pagerank,,,0.0,0.0,18.0,0.047,1122.0,0.072,2236.0,2164.0,42.0,119.0,0.05
ws_rewire,0.01,WS,3,0.02,0.05,0.05,eigenvector,,,0.0,0.0,6.0,0.011,135.0,0.035,561.0,526.0,6.0,47.0,0.05
ws_rewire,0.01,WS,3,0.02,0.05,0.05,kcore,,,0.0,0.0,20.0,0.048,982.0,0.068,2114.0,2046.0,43.0,91.0,0.05
ws_rewire,0.01,WS,3,0.02,0.05,0.05,collective_influence,,,0.0,0.0,7.0,0.024,380.0,0.05,956.0,906.0,19.0,163.0,0.05
ws_rewire,0.01,WS,3,0.02,0.05,0.05,community_bridge,,,0.0,0.0,19.0,0.062,1179.0,0.097,2768.0,2671.0,57.0,148.0,0.05
ws_rewire,0.01,WS,0,0.15,0.05,0.05,random,10.0,37.0,1.0,1.0,341.0,0.948,18411.0,0.945,6689.0,5744.0,943.0,175.0,0.05
ws_rewire,0.01,WS,0,0.15,0.05,0.05,degree,12.0,69.0,1.0,1.0,149.0,0.908,17809.0,0.91,6806.0,5896.0,903.0,326.0,0.05
ws_rewire,0.01,WS,0,0.15,0.05,0.05,betweenness,12.0,49.0,1.0,1.0,198.0,0.572,11712.0,0.589,4285.0,3696.0,567.0,191.0,0.05
ws_rewire,0.01,WS,0,0.15,0.05,0.05,pagerank,12.0,61.0,1.0,1.0,164.0,0.695,13579.0,0.698,4994.0,4296.0,690.0,254.0,0.05
ws_rewire,0.01,WS,0,0.15,0.05,0.05,eigenvector,10.0,31.0,1.0,1.0,367.0,0.95,18804.0,0.945,7337.0,6392.0,945.0,205.0,0.05
ws_rewire,0.01,WS,0,0.15,0.05,0.05,kcore,18.0,86.0,1.0,1.0,139.0,0.948,18891.0,0.945,6975.0,6030.0,943.0,252.0,0.05
ws_rewire,0.01,WS,0,0.15,0.05,0.05,collective_influence,12.0,77.0,1.0,1.0,142.0,0.95,19850.0,0.945,6870.0,5925.0,945.0,285.0,0.05
ws_rewire,0.01,WS,0,0.15,0.05,0.05,community_bridge,11.0,77.0,1.0,1.0,141.0,0.55,11538.0,0.545,3954.0,3409.0,545.0,167.0,0.05
ws_rewire,0.01,WS,0,0.02,0.05,0.05,random,,,0.0,0.0,17.0,0.059,1182.0,0.104,2537.0,2433.0,54.0,159.0,0.05
ws_rewire,0.01,WS,0,0.02,0.05,0.05,degree,,,0.0,0.0,18.0,0.053,1220.0,0.08,2265.0,2185.0,48.0,198.0,0.05
ws_rewire,0.01,WS,0,0.02,0.05,0.05,betweenness,,,0.0,0.0,15.0,0.052,1098.0,0.075,1737.0,1662.0,47.0,117.0,0.05
