topology,trial,strategy,ranking_seconds,n,edges
BA,54,eigenvector,0.02818977399999767,1000,2991
BA,54,kcore,0.0038195840000412318,1000,2991
BA,54,pagerank,0.05391336299999239,1000,2991
BA,55,betweenness,0.4285480679999978,1000,2991
BA,55,collective_influence,0.08664545800002088,1000,2991
BA,55,community_bridge,1.1143549490000169,1000,2991
BA,55,degree,0.0010235219999685796,1000,2991
BA,55,eigenvector,0.08657194700003856,1000,2991
BA,55,kcore,0.003904211000019586,1000,2991
BA,55,pagerank,0.005321735999984867,1000,2991
BA,56,betweenness,0.2973331300000268,1000,2991
BA,56,collective_influence,0.06892183100001148,1000,2991
BA,56,community_bridge,0.9329847360000372,1000,2991
BA,56,degree,0.0006766490000131853,1000,2991
BA,56,eigenvector,0.02038765100002138,1000,2991
BA,56,kcore,0.002492904999996881,1000,2991
BA,56,pagerank,0.005734878999987814,1000,2991
BA,57,betweenness,0.29299108800000795,1000,2991
BA,57,collective_influence,0.06775750700001026,1000,2991
BA,57,community_bridge,1.002223325999978,1000,2991
BA,57,degree,0.0006584420000308455,1000,2991
BA,57,eigenvector,0.021803623999971933,1000,2991
BA,57,kcore,0.002403340999990178,1000,2991
BA,57,pagerank,0.00503429299999425,1000,2991
BA,58,betweenness,0.29696017600002733,1000,2991
BA,58,collective_influence,0.03212582300000122,1000,2991
BA,58,community_bridge,1.1002196790000198,1000,2991
BA,58,degree,0.0006955179999863503,1000,2991
BA,58,eigenvector,0.08276583399998572,1000,2991
BA,58,kcore,0.003958862999979829,1000,2991
BA,58,pagerank,0.005032530999983464,1000,2991
BA,59,betweenness,0.3307176270000127,1000,2991
BA,59,collective_influence,0.01954073500002096,1000,2991
BA,59,community_bridge,0.9705714539999803,1000,2991
BA,59,degree,0.001035449999960747,1000,2991
BA,59,eigenvector,0.0689652160000378,1000,2991
BA,59,kcore,0.0025397250000196436,1000,2991
BA,59,pagerank,0.004436083000030067,1000,2991
BA,60,betweenness,0.29129411100001334,1000,2991
BA,60,collective_influence,0.020840453000005255,1000,2991
BA,60,community_bridge,0.9766785130000244,1000,2991
BA,60,degree,0.000719683999989229,1000,2991
BA,60,eigenvector,0.07185987599996224,1000,2991
BA,60,kcore,0.002962643000046228,1000,2991
BA,60,pagerank,0.004139254999984132,1000,2991
BA,61,betweenness,0.30197167999995145,1000,2991
BA,61,collective_influence,0.020403815999998187,1000,2991
BA,61,community_bridge,0.9851178480000158,1000,2991
BA,61,degree,0.0006291579999810892,1000,2991
BA,61,eigenvector,0.07892979799999011,1000,2991
BA,61,kcore,0.0026610179999693173,1000,2991
BA,61,pagerank,0.005840539000018907,1000,2991
BA,62,betweenness,0.3272706530000278,1000,2991
BA,62,collective_influence,0.07994863499999383,1000,2991
BA,62,community_bridge,0.8254402730000265,1000,2991
BA,62,degree,0.0007168999999862535,1000,2991
BA,62,eigenvector,0.0811330789999829,1000,2991
BA,62,kcore,0.003229103999956351,1000,2991
BA,62,pagerank,0.007594839000034881,1000,2991
BA,63,betweenness,0.3935400090000485,1000,2991
BA,63,collective_influence,0.07472300400002041,1000,2991
BA,63,community_bridge,1.1042367759999934,1000,2991
