topology,trial,graph_seed,nodes,edges,mean_degree,density,clustering,transitivity,assortativity,components,lcc_fraction
BA,67,2504655273,1000,2991,5.982,0.005987987987987988,0.02991517617790495,0.017260384460276917,-0.07428216654216419,1,1.0
BA,68,2655653844,1000,2991,5.982,0.005987987987987988,0.03537675119966908,0.019819294666278055,-0.07855898852356742,1,1.0
BA,69,2672431463,1000,2991,5.982,0.005987987987987988,0.021462294394599443,0.01403188086341765,-0.07849900355927959,1,1.0
BA,70,2622245701,1000,2991,5.982,0.005987987987987988,0.031444052720461434,0.01804057193000568,-0.07148481885148365,1,1.0
BA,71,2605468082,1000,2991,5.982,0.005987987987987988,0.02823162223500194,0.017254728459241236,-0.05499503384432165,1,1.0
BA,72,2588690463,1000,2991,5.982,0.005987987987987988,0.02764125297657846,0.01762799399225317,-0.050691864948927835,1,1.0
BA,73,2571912844,1000,2991,5.982,0.005987987987987988,0.033986427979443505,0.018300948938093087,-0.08199204541008258,1,1.0
BA,74,2555135225,1000,2991,5.982,0.005987987987987988,0.027300864423079562,0.0176442152755398,-0.05338707591066316,1,1.0
BA,75,2538357606,1000,2991,5.982,0.005987987987987988,0.029928214439839628,0.016207853441713122,-0.0846125529988795,1,1.0
BA,76,2521579987,1000,2991,5.982,0.005987987987987988,0.03328924716032423,0.017634774537860623,-0.09790814090512294,1,1.0
BA,77,2504802368,1000,2991,5.982,0.005987987987987988,0.033155700161134345,0.0172148355493352,-0.09505785411348108,1,1.0
BA,78,2756466653,1000,2991,5.982,0.005987987987987988,0.03659472761745381,0.018859577638594614,-0.07484151359738234,1,1.0
BA,79,2739689034,1000,2991,5.982,0.005987987987987988,0.035097469900510894,0.018074466803229303,-0.08385825260734642,1,1.0
BA,80,439434018,1000,2991,5.982,0.005987987987987988,0.03257900435159079,0.019205858907931448,-0.07052445821850281,1,1.0
BA,81,456211637,1000,2991,5.982,0.005987987987987988,0.033461575747095726,0.017612383782229464,-0.06842265190904394,1,1.0
BA,82,405878780,1000,2991,5.982,0.005987987987987988,0.032437084478797756,0.01989215408034263,-0.050543702307666305,1,1.0
BA,83,422656399,1000,2991,5.982,0.005987987987987988,0.030751073217969622,0.017837621650446608,-0.07067237378631148,1,1.0
