topology,trial,beta,gamma,fraction,strategy,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
ER,0,0.02,0.05,0.05,degree,82.0,181.0,1.0,1.0,106.0,0.55,11383.0,0.896,25853.0,24957.0,545.0,355.0,0.05
ER,0,0.02,0.05,0.05,betweenness,59.0,147.0,1.0,1.0,125.0,0.58,11971.0,0.902,27396.0,26494.0,575.0,357.0,0.05
ER,0,0.02,0.05,0.05,kcore,,,0.0,0.0,5.0,0.005,85.0,0.025,294.0,269.0,0.0,35.0,0.05
ER,0,0.02,0.05,0.05,collective_influence,,,0.0,0.0,10.0,0.046,789.0,0.183,2506.0,2323.0,41.0,168.0,0.05
ER,0,0.02,0.05,0.05,community_bridge,63.0,189.0,1.0,1.0,127.0,0.524,10898.0,0.893,26365.0,25472.0,519.0,317.0,0.05
ER,0,0.05,0.05,0.05,random,16.0,30.0,1.0,1.0,457.0,0.888,18938.0,0.941,17691.0,16750.0,883.0,174.0,0.05
ER,0,0.05,0.05,0.05,degree,39.0,61.0,1.0,1.0,331.0,0.863,17520.0,0.935,18458.0,17523.0,858.0,186.0,0.05
ER,0,0.05,0.05,0.05,betweenness,16.0,31.0,1.0,1.0,376.0,0.877,17713.0,0.938,17723.0,16785.0,872.0,187.0,0.05
ER,0,0.05,0.05,0.05,kcore,25.0,44.0,1.0,1.0,354.0,0.859,17964.0,0.936,17910.0,16974.0,854.0,193.0,0.05
ER,0,0.05,0.05,0.05,collective_influence,19.0,38.0,1.0,1.0,369.0,0.859,17830.0,0.939,18055.0,17116.0,854.0,168.0,0.05
ER,0,0.05,0.05,0.05,community_bridge,16.0,30.0,1.0,1.0,397.0,0.871,17991.0,0.938,16734.0,15796.0,866.0,211.0,0.05
ER,0,0.15,0.05,0.05,random,7.0,11.0,1.0,1.0,698.0,0.937,18109.0,0.942,6778.0,5836.0,932.0,136.0,0.05
ER,0,0.15,0.05,0.05,degree,6.0,12.0,1.0,1.0,636.0,0.934,18957.0,0.94,6675.0,5735.0,929.0,147.0,0.05
ER,0,0.15,0.05,0.05,betweenness,7.0,12.0,1.0,1.0,690.0,0.93,19342.0,0.938,6782.0,5844.0,925.0,131.0,0.05
ER,0,0.15,0.05,0.05,kcore,8.0,13.0,1.0,1.0,665.0,0.937,18823.0,0.94,6999.0,6059.0,932.0,136.0,0.05
ER,0,0.15,0.05,0.05,collective_influence,6.0,11.0,1.0,1.0,653.0,0.941,18525.0,0.942,6398.0,5456.0,936.0,138.0,0.05
ER,0,0.15,0.05,0.05,community_bridge,7.0,12.0,1.0,1.0,652.0,0.939,18994.0,0.941,6665.0,5724.0,934.0,158.0,0.05
ER,2,0.01,0.05,0.05,random,,,0.0,0.0,5.0,0.007,75.0,0.025,232.0,207.0,2.0,31.0,0.05
ER,2,0.01,0.05,0.05,degree,,,0.0,0.0,5.0,0.008,101.0,0.03,337.0,307.0,3.0,35.0,0.05
ER,2,0.01,0.05,0.05,betweenness,,,0.0,0.0,8.0,0.012,176.0,0.062,886.0,824.0,7.0,49.0,0.05
ER,2,0.01,0.05,0.05,kcore,,,0.0,0.0,13.0,0.032,676.0,0.144,2552.0,2408.0,27.0,127.0,0.05
ER,2,0.01,0.05,0.05,collective_influence,,,0.0,0.0,5.0,0.019,447.0,0.089,1836.0,1747.0,14.0,158.0,0.05
ER,2,0.01,0.05,0.05,community_bridge,,,0.0,0.0,19.0,0.08,1747.0,0.341,6826.0,6485.0,75.0,246.0,0.05
ER,2,0.02,0.05,0.05,random,45.0,109.0,1.0,1.0,142.0,0.651,13889.0,0.93,32222.0,31292.0,646.0,261.0,0.05
ER,2,0.02,0.05,0.05,degree,88.0,,1.0,0.0,47.0,0.461,9164.0,0.865,23610.0,22745.0,456.0,378.0,0.05
ER,2,0.02,0.05,0.05,betweenness,60.0,,1.0,0.0,65.0,0.453,8360.0,0.848,23050.0,22202.0,448.0,298.0,0.05
ER,2,0.02,0.05,0.05,kcore,,,0.0,0.0,6.0,0.006,102.0,0.022,445.0,423.0,1.0,40.0,0.05
ER,2,0.02,0.05,0.05,collective_influence,98.0,324.0,1.0,1.0,64.0,0.504,10477.0,0.895,26328.0,25433.0,499.0,386.0,0.05
ER,2,0.02,0.05,0.05,community_bridge,110.0,254.0,1.0,1.0,67.0,0.539,9940.0,0.89,26252.0,25362.0,534.0,382.0,0.05
ER,2,0.05,0.05,0.05,random,15.0,30.0,1.0,1.0,439.0,0.902,18754.0,0.942,18222.0,17280.0,897.0,168.0,0.05
ER,2,0.05,0.05,0.05,degree,17.0,33.0,1.0,1.0,382.0,0.866,17167.0,0.937,16771.0,15834.0,861.0,158.0,0.05
ER,2,0.05,0.05,0.05,betweenness,15.0,32.0,1.0,1.0,345.0,0.866,16147.0,0.935,17800.0,16865.0,861.0,165.0,0.05
ER,2,0.05,0.05,0.05,kcore,17.0,34.0,1.0,1.0,329.0,0.861,16983.0,0.939,17513.0,16574.0,856.0,213.0,0.05
ER,2,0.05,0.05,0.05,collective_influence,16.0,33.0,1.0,1.0,341.0,0.852,16042.0,0.939,16584.0,15645.0,847.0,151.0,0.05
ER,2,0.05,0.05,0.05,community_bridge,24.0,40.0,1.0,1.0,359.0,0.868,18022.0,0.939,17392.0,16453.0,863.0,182.0,0.05
ER,2,0.15,0.05,0.05,random,5.0,9.0,1.0,1.0,657.0,0.94,17981.0,0.942,7112.0,6170.0,935.0,131.0,0.05
ER,2,0.15,0.05,0.05,degree,8.0,13.0,1.0,1.0,658.0,0.93,20040.0,0.939,6795.0,5856.0,925.0,167.0,0.05
ER,2,0.15,0.05,0.05,betweenness,8.0,12.0,1.0,1.0,664.0,0.933,18139.0,0.937,6630.0,5693.0,928.0,151.0,0.05
ER,2,0.15,0.05,0.05,kcore,7.0,12.0,1.0,1.0,629.0,0.933,17644.0,0.941,6990.0,6049.0,928.0,126.0,0.05
ER,2,0.15,0.05,0.05,collective_influence,7.0,12.0,1.0,1.0,643.0,0.938,19266.0,0.939,6923.0,5984.0,933.0,164.0,0.05
ER,2,0.15,0.05,0.05,community_bridge,6.0,11.0,1.0,1.0,651.0,0.935,18245.0,0.94,6687.0,5747.0,930.0,148.0,0.05
ER,3,0.01,0.05,0.05,random,,,0.0,0.0,14.0,0.062,1223.0,0.302,5748.0,5446.0,57.0,163.0,0.05
ER,3,0.01,0.05,0.05,degree,,,0.0,0.0,8.0,0.025,477.0,0.13,2451.0,2321.0,20.0,142.0,0.05
ER,3,0.01,0.05,0.05,betweenness,,,0.0,0.0,17.0,0.049,1056.0,0.239,4754.0,4515.0,44.0,156.0,0.05
ER,3,0.01,0.05,0.05,kcore,,,0.0,0.0,6.0,0.015,187.0,0.078,885.0,807.0,10.0,52.0,0.05
ER,3,0.01,0.05,0.05,collective_influence,,,0.0,0.0,6.0,0.008,106.0,0.039,543.0,504.0,3.0,40.0,0.05
ER,3,0.01,0.05,0.05,community_bridge,,,0.0,0.0,5.0,0.007,74.0,0.034,343.0,309.0,2.0,30.0,0.05
ER,3,0.02,0.05,0.05,random,48.0,110.0,1.0,1.0,146.0,0.671,13681.0,0.929,33686.0,32757.0,666.0,293.0,0.05
ER,3,0.02,0.05,0.05,degree,67.0,196.0,1.0,1.0,76.0,0.543,10220.0,0.894,26316.0,25422.0,538.0,297.0,0.05
ER,3,0.02,0.05,0.05,betweenness,63.0,144.0,1.0,1.0,121.0,0.629,13335.0,0.915,30270.0,29355.0,624.0,322.0,0.05
ER,3,0.02,0.05,0.05,kcore,54.0,147.0,1.0,1.0,110.0,0.614,13813.0,0.92,31380.0,30460.0,609.0,360.0,0.05
ER,3,0.02,0.05,0.05,collective_influence,62.0,142.0,1.0,1.0,122.0,0.657,14535.0,0.931,32904.0,31973.0,652.0,349.0,0.05
ER,3,0.02,0.05,0.05,community_bridge,84.0,,1.0,0.0,53.0,0.463,9271.0,0.87,24464.0,23594.0,458.0,363.0,0.05
ER,3,0.05,0.05,0.05,random,19.0,31.0,1.0,1.0,438.0,0.887,18951.0,0.941,18480.0,17539.0,882.0,163.0,0.05
ER,3,0.05,0.05,0.05,degree,17.0,32.0,1.0,1.0,373.0,0.888,18041.0,0.944,17481.0,16537.0,883.0,198.0,0.05
ER,3,0.05,0.05,0.05,betweenness,15.0,30.0,1.0,1.0,370.0,0.865,16569.0,0.941,17996.0,17055.0,860.0,193.0,0.05
ER,3,0.05,0.05,0.05,kcore,15.0,30.0,1.0,1.0,356.0,0.871,17218.0,0.943,16919.0,15976.0,866.0,170.0,0.05
ER,3,0.05,0.05,0.05,collective_influence,15.0,30.0,1.0,1.0,392.0,0.885,17678.0,0.943,18016.0,17073.0,880.0,161.0,0.05
ER,3,0.05,0.05,0.05,community_bridge,19.0,37.0,1.0,1.0,380.0,0.873,17945.0,0.944,17905.0,16961.0,868.0,204.0,0.05
ER,3,0.15,0.05,0.05,random,7.0,11.0,1.0,1.0,670.0,0.934,17676.0,0.942,7018.0,6076.0,929.0,126.0,0.05
ER,3,0.15,0.05,0.05,degree,6.0,11.0,1.0,1.0,654.0,0.939,18800.0,0.944,6947.0,6003.0,934.0,174.0,0.05
ER,3,0.15,0.05,0.05,betweenness,7.0,12.0,1.0,1.0,665.0,0.938,19236.0,0.942,7228.0,6286.0,933.0,188.0,0.05
ER,3,0.15,0.05,0.05,kcore,7.0,12.0,1.0,1.0,671.0,0.937,18173.0,0.944,6988.0,6044.0,932.0,170.0,0.05
ER,3,0.15,0.05,0.05,collective_influence,7.0,11.0,1.0,1.0,638.0,0.936,17938.0,0.944,6956.0,6012.0,931.0,156.0,0.05
ER,3,0.15,0.05,0.05,community_bridge,7.0,12.0,1.0,1.0,665.0,0.94,18421.0,0.944,7135.0,6191.0,935.0,149.0,0.05
ER,4,0.01,0.05,0.05,random,94.0,,1.0,0.0,26.0,0.134,2869.0,0.503,11974.0,11471.0,129.0,224.0,0.05
ER,4,0.01,0.05,0.05,degree,,,0.0,0.0,11.0,0.05,1056.0,0.212,4308.0,4096.0,45.0,267.0,0.05
ER,4,0.01,0.05,0.05,betweenness,262.0,,1.0,0.0,19.0,0.142,2920.0,0.512,12002.0,11490.0,137.0,440.0,0.05
ER,4,0.01,0.05,0.05,kcore,,,0.0,0.0,22.0,0.048,1197.0,0.214,4874.0,4660.0,43.0,185.0,0.05
ER,4,0.01,0.05,0.05,collective_influence,,,0.0,0.0,6.0,0.013,303.0,0.047,958.0,911.0,8.0,103.0,0.05
ER,4,0.01,0.05,0.05,community_bridge,,,0.0,0.0,5.0,0.006,104.0,0.025,582.0,557.0,1.0,54.0,0.05
ER,4,0.02,0.05,0.05,random,43.0,155.0,1.0,1.0,103.0,0.572,11278.0,0.912,29426.0,28514.0,567.0,345.0,0.05
ER,4,0.02,0.05,0.05,degree,54.0,,1.0,0.0,68.0,0.484,9877.0,0.884,24931.0,24047.0,479.0,313.0,0.05
ER,4,0.02,0.05,0.05,betweenness,152.0,,1.0,0.0,29.0,0.446,8145.0,0.855,21945.0,21090.0,441.0,500.0,0.05
ER,4,0.02,0.05,0.05,kcore,68.0,204.0,1.0,1.0,81.0,0.557,10837.0,0.902,26649.0,25747.0,552.0,377.0,0.05
