topology,trial,seed_mode,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
BA,13,bridge,2.0,5.0,1.0,1.0,737.0,0.995,19557.0,0.995,7425.0,6430.0,990.0,139.0,0.0
BA,13,peripheral,5.0,8.0,1.0,1.0,754.0,0.995,20347.0,0.995,7007.0,6012.0,990.0,136.0,0.0
BA,14,random,4.0,6.0,1.0,1.0,750.0,0.993,20016.0,0.995,7356.0,6361.0,988.0,175.0,0.0
BA,14,high_degree,2.0,5.0,1.0,1.0,773.0,0.998,19240.0,0.995,7511.0,6516.0,993.0,137.0,0.0
BA,14,bridge,2.0,5.0,1.0,1.0,732.0,0.997,20523.0,0.995,7388.0,6393.0,992.0,183.0,0.0
BA,14,peripheral,3.0,6.0,1.0,1.0,734.0,0.998,19965.0,0.995,7437.0,6442.0,993.0,141.0,0.0
BA,15,random,4.0,7.0,1.0,1.0,717.0,0.994,19699.0,0.995,7270.0,6275.0,989.0,137.0,0.0
BA,15,high_degree,2.0,5.0,1.0,1.0,759.0,0.998,21373.0,0.995,7497.0,6502.0,993.0,113.0,0.0
BA,15,bridge,2.0,5.0,1.0,1.0,768.0,0.997,19585.0,0.995,7320.0,6325.0,992.0,141.0,0.0
BA,15,peripheral,4.0,7.0,1.0,1.0,727.0,0.994,19349.0,0.995,7247.0,6252.0,989.0,113.0,0.0
BA,16,random,6.0,8.0,1.0,1.0,734.0,0.997,20101.0,0.995,7374.0,6379.0,992.0,148.0,0.0
BA,16,high_degree,2.0,5.0,1.0,1.0,729.0,0.997,20370.0,0.995,7385.0,6390.0,992.0,207.0,0.0
BA,16,bridge,2.0,5.0,1.0,1.0,696.0,0.987,19024.0,0.995,7495.0,6500.0,982.0,154.0,0.0
BA,16,peripheral,4.0,7.0,1.0,1.0,750.0,0.998,20265.0,0.995,7327.0,6332.0,993.0,135.0,0.0
BA,17,random,4.0,7.0,1.0,1.0,716.0,0.994,19540.0,0.995,7444.0,6449.0,989.0,160.0,0.0
BA,17,high_degree,2.0,5.0,1.0,1.0,735.0,0.992,19494.0,0.995,7282.0,6287.0,987.0,125.0,0.0
BA,17,bridge,2.0,5.0,1.0,1.0,726.0,0.991,19335.0,0.995,7612.0,6617.0,986.0,157.0,0.0
BA,17,peripheral,6.0,8.0,1.0,1.0,714.0,0.994,19192.0,0.995,7207.0,6212.0,989.0,139.0,0.0
BA,19,random,5.0,8.0,1.0,1.0,740.0,0.997,19955.0,0.995,7295.0,6300.0,992.0,136.0,0.0
BA,19,high_degree,2.0,5.0,1.0,1.0,741.0,0.997,20408.0,0.995,7466.0,6471.0,992.0,134.0,0.0
BA,19,bridge,2.0,5.0,1.0,1.0,725.0,0.994,18962.0,0.995,7170.0,6175.0,989.0,160.0,0.0
BA,19,peripheral,4.0,7.0,1.0,1.0,723.0,0.991,20290.0,0.995,7669.0,6674.0,986.0,142.0,0.0
BA,18,random,4.0,7.0,1.0,1.0,711.0,0.989,18872.0,0.995,7418.0,6423.0,984.0,122.0,0.0
BA,18,high_degree,2.0,5.0,1.0,1.0,743.0,0.996,20043.0,0.995,7017.0,6022.0,991.0,165.0,0.0
BA,18,bridge,2.0,5.0,1.0,1.0,743.0,0.995,20273.0,0.995,7507.0,6512.0,990.0,159.0,0.0
BA,18,peripheral,6.0,9.0,1.0,1.0,728.0,0.995,19410.0,0.995,7300.0,6305.0,990.0,144.0,0.0
