topology,trial,seed_mode,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
ER,4,high_degree,4.0,9.0,1.0,1.0,707.0,0.991,20127.0,0.993,7473.0,6480.0,986.0,164.0,0.0
ER,4,bridge,4.0,8.0,1.0,1.0,730.0,0.99,19689.0,0.993,7458.0,6465.0,985.0,118.0,0.0
ER,4,peripheral,11.0,15.0,1.0,1.0,728.0,0.989,19522.0,0.995,7302.0,6307.0,984.0,140.0,0.0
ER,7,random,5.0,9.0,1.0,1.0,724.0,0.983,19532.0,0.991,7155.0,6164.0,978.0,126.0,0.0
ER,7,high_degree,4.0,8.0,1.0,1.0,734.0,0.991,19796.0,0.991,7738.0,6747.0,986.0,144.0,0.0
ER,7,bridge,5.0,9.0,1.0,1.0,762.0,0.993,19647.0,0.99,7307.0,6317.0,988.0,143.0,0.0
ER,7,peripheral,11.0,16.0,1.0,1.0,758.0,0.992,20315.0,0.994,7354.0,6360.0,987.0,220.0,0.0
ER,6,random,6.0,9.0,1.0,1.0,725.0,0.989,19260.0,0.993,7463.0,6470.0,984.0,141.0,0.0
ER,6,high_degree,5.0,8.0,1.0,1.0,729.0,0.988,18821.0,0.993,7253.0,6260.0,983.0,176.0,0.0
ER,6,bridge,5.0,9.0,1.0,1.0,756.0,0.991,19641.0,0.993,7804.0,6811.0,986.0,123.0,0.0
ER,6,peripheral,15.0,19.0,1.0,1.0,708.0,0.992,18440.0,0.995,7362.0,6367.0,987.0,194.0,0.0
ER,9,random,5.0,9.0,1.0,1.0,734.0,0.988,19369.0,0.987,7190.0,6203.0,983.0,144.0,0.0
ER,9,high_degree,4.0,8.0,1.0,1.0,728.0,0.987,19634.0,0.987,7349.0,6362.0,982.0,158.0,0.0
ER,9,bridge,6.0,10.0,1.0,1.0,731.0,0.987,20803.0,0.987,7080.0,6093.0,982.0,125.0,0.0
ER,9,peripheral,,,0.0,0.0,5.0,0.005,119.0,0.0,0.0,0.0,0.0,51.0,0.0
ER,10,random,5.0,9.0,1.0,1.0,703.0,0.995,20399.0,0.994,7334.0,6340.0,990.0,199.0,0.0
ER,10,high_degree,4.0,8.0,1.0,1.0,734.0,0.992,19822.0,0.994,7400.0,6406.0,987.0,178.0,0.0
ER,10,bridge,5.0,9.0,1.0,1.0,687.0,0.989,19624.0,0.994,7382.0,6388.0,984.0,153.0,0.0
ER,10,peripheral,11.0,15.0,1.0,1.0,705.0,0.991,19643.0,0.995,7490.0,6495.0,986.0,190.0,0.0
ER,11,random,6.0,10.0,1.0,1.0,725.0,0.993,19907.0,0.992,7588.0,6596.0,988.0,139.0,0.0
ER,11,high_degree,5.0,9.0,1.0,1.0,727.0,0.995,20584.0,0.992,7674.0,6682.0,990.0,168.0,0.0
ER,11,bridge,5.0,9.0,1.0,1.0,719.0,0.988,20652.0,0.992,7803.0,6811.0,983.0,177.0,0.0
ER,11,peripheral,10.0,14.0,1.0,1.0,738.0,0.994,19839.0,0.995,7474.0,6479.0,989.0,198.0,0.0
ER,13,random,6.0,10.0,1.0,1.0,719.0,0.987,19179.0,0.994,7503.0,6509.0,982.0,155.0,0.0
ER,13,high_degree,5.0,8.0,1.0,1.0,730.0,0.992,19182.0,0.994,7239.0,6245.0,987.0,174.0,0.0
ER,13,bridge,5.0,9.0,1.0,1.0,705.0,0.988,20013.0,0.994,7329.0,6335.0,983.0,173.0,0.0
ER,13,peripheral,11.0,15.0,1.0,1.0,746.0,0.996,21095.0,0.995,7204.0,6209.0,991.0,212.0,0.0
ER,8,random,7.0,11.0,1.0,1.0,740.0,0.996,20723.0,0.993,7164.0,6171.0,991.0,177.0,0.0
ER,8,high_degree,4.0,8.0,1.0,1.0,712.0,0.991,19425.0,0.993,7419.0,6426.0,986.0,126.0,0.0
ER,8,bridge,4.0,8.0,1.0,1.0,728.0,0.991,20963.0,0.993,7065.0,6072.0,986.0,193.0,0.0
ER,8,peripheral,10.0,14.0,1.0,1.0,733.0,0.995,20744.0,0.995,7254.0,6259.0,990.0,165.0,0.0
ER,12,random,6.0,9.0,1.0,1.0,736.0,0.988,19979.0,0.991,7360.0,6369.0,983.0,164.0,0.0
ER,12,high_degree,4.0,8.0,1.0,1.0,716.0,0.993,19883.0,0.991,7603.0,6612.0,988.0,133.0,0.0
ER,12,bridge,5.0,9.0,1.0,1.0,737.0,0.989,19681.0,0.991,7560.0,6569.0,984.0,128.0,0.0
ER,12,peripheral,12.0,16.0,1.0,1.0,727.0,0.994,20433.0,0.995,7285.0,6290.0,989.0,142.0,0.0
ER,14,random,6.0,10.0,1.0,1.0,746.0,0.992,21259.0,0.994,7572.0,6578.0,987.0,160.0,0.0
ER,14,high_degree,4.0,8.0,1.0,1.0,713.0,0.993,19677.0,0.994,7651.0,6657.0,988.0,191.0,0.0
ER,14,bridge,4.0,8.0,1.0,1.0,744.0,0.992,19214.0,0.994,7399.0,6405.0,987.0,132.0,0.0
ER,14,peripheral,10.0,14.0,1.0,1.0,758.0,0.992,20352.0,0.993,7220.0,6227.0,987.0,149.0,0.0
ER,15,random,7.0,11.0,1.0,1.0,741.0,0.989,20710.0,0.993,7778.0,6785.0,984.0,219.0,0.0
ER,15,high_degree,4.0,8.0,1.0,1.0,743.0,0.99,19566.0,0.991,7513.0,6522.0,985.0,163.0,0.0
ER,15,bridge,5.0,9.0,1.0,1.0,708.0,0.988,19661.0,0.992,7554.0,6562.0,983.0,141.0,0.0
ER,15,peripheral,14.0,18.0,1.0,1.0,728.0,0.992,20578.0,0.995,7677.0,6682.0,987.0,150.0,0.0
ER,16,random,6.0,9.0,1.0,1.0,703.0,0.988,18321.0,0.993,7548.0,6555.0,983.0,131.0,0.0
ER,16,high_degree,4.0,8.0,1.0,1.0,723.0,0.991,20463.0,0.993,7062.0,6069.0,986.0,131.0,0.0
ER,16,bridge,4.0,8.0,1.0,1.0,730.0,0.99,19717.0,0.993,7204.0,6211.0,985.0,145.0,0.0
ER,16,peripheral,19.0,23.0,1.0,1.0,716.0,0.994,19849.0,0.995,7721.0,6726.0,989.0,157.0,0.0
ER,18,random,6.0,10.0,1.0,1.0,703.0,0.99,20420.0,0.994,7276.0,6282.0,985.0,161.0,0.0
ER,18,high_degree,4.0,8.0,1.0,1.0,729.0,0.99,19339.0,0.994,7034.0,6040.0,985.0,153.0,0.0
ER,18,bridge,5.0,9.0,1.0,1.0,716.0,0.994,19417.0,0.994,7652.0,6658.0,989.0,132.0,0.0
ER,18,peripheral,11.0,15.0,1.0,1.0,729.0,0.989,20663.0,0.995,7326.0,6331.0,984.0,169.0,0.0
ER,17,random,6.0,10.0,1.0,1.0,748.0,0.991,20045.0,0.995,7367.0,6372.0,986.0,133.0,0.0
ER,17,high_degree,4.0,8.0,1.0,1.0,743.0,0.993,20107.0,0.995,7315.0,6320.0,988.0,135.0,0.0
ER,17,bridge,5.0,9.0,1.0,1.0,750.0,0.994,19651.0,0.995,7445.0,6450.0,989.0,150.0,0.0
ER,17,peripheral,7.0,11.0,1.0,1.0,705.0,0.985,19952.0,0.994,7511.0,6517.0,980.0,161.0,0.0
WS,1,random,8.0,15.0,1.0,1.0,658.0,1.0,18971.0,0.995,7387.0,6392.0,995.0,162.0,0.0
WS,1,high_degree,6.0,13.0,1.0,1.0,660.0,1.0,19974.0,0.995,7537.0,6542.0,995.0,154.0,0.0
WS,1,bridge,6.0,13.0,1.0,1.0,668.0,1.0,20481.0,0.995,7509.0,6514.0,995.0,149.0,0.0
WS,1,peripheral,10.0,17.0,1.0,1.0,606.0,1.0,19343.0,0.995,7428.0,6433.0,995.0,146.0,0.0
WS,2,random,8.0,16.0,1.0,1.0,620.0,0.999,19008.0,0.995,7697.0,6702.0,994.0,137.0,0.0
WS,2,high_degree,7.0,14.0,1.0,1.0,610.0,1.0,19605.0,0.995,7714.0,6719.0,995.0,169.0,0.0
WS,2,bridge,7.0,16.0,1.0,1.0,655.0,0.999,19820.0,0.995,7489.0,6494.0,994.0,158.0,0.0
WS,2,peripheral,11.0,18.0,1.0,1.0,653.0,0.999,19566.0,0.995,7146.0,6151.0,994.0,138.0,0.0
ER,19,random,7.0,11.0,1.0,1.0,731.0,0.994,20558.0,0.994,7495.0,6501.0,989.0,164.0,0.0
ER,19,high_degree,4.0,8.0,1.0,1.0,722.0,0.989,19614.0,0.994,7271.0,6277.0,984.0,137.0,0.0
ER,19,bridge,5.0,9.0,1.0,1.0,715.0,0.99,19086.0,0.994,7426.0,6432.0,985.0,153.0,0.0
ER,19,peripheral,6.0,10.0,1.0,1.0,738.0,0.992,20085.0,0.995,7370.0,6375.0,987.0,134.0,0.0
WS,0,random,10.0,16.0,1.0,1.0,618.0,1.0,18950.0,0.995,7474.0,6479.0,995.0,158.0,0.0
WS,0,high_degree,7.0,14.0,1.0,1.0,616.0,1.0,19204.0,0.995,7413.0,6418.0,995.0,197.0,0.0
WS,0,bridge,9.0,18.0,1.0,1.0,643.0,1.0,20299.0,0.995,7680.0,6685.0,995.0,138.0,0.0
WS,0,peripheral,9.0,16.0,1.0,1.0,677.0,1.0,20904.0,0.995,7276.0,6281.0,995.0,171.0,0.0
WS,3,random,8.0,16.0,1.0,1.0,632.0,0.999,20185.0,0.995,7162.0,6167.0,994.0,155.0,0.0
WS,3,high_degree,6.0,14.0,1.0,1.0,629.0,1.0,19341.0,0.995,7634.0,6639.0,995.0,231.0,0.0
WS,3,bridge,7.0,15.0,1.0,1.0,620.0,1.0,20528.0,0.995,7589.0,6594.0,995.0,164.0,0.0
WS,3,peripheral,9.0,15.0,1.0,1.0,649.0,1.0,20001.0,0.995,7244.0,6249.0,995.0,165.0,0.0
WS,4,random,8.0,15.0,1.0,1.0,649.0,1.0,20108.0,0.995,7333.0,6338.0,995.0,127.0,0.0
WS,4,high_degree,7.0,13.0,1.0,1.0,678.0,0.998,20339.0,0.995,7173.0,6178.0,993.0,121.0,0.0
WS,4,bridge,7.0,15.0,1.0,1.0,684.0,1.0,20999.0,0.995,7273.0,6278.0,995.0,134.0,0.0
WS,4,peripheral,8.0,16.0,1.0,1.0,668.0,1.0,21013.0,0.995,7464.0,6469.0,995.0,210.0,0.0
WS,5,random,8.0,15.0,1.0,1.0,642.0,1.0,20784.0,0.995,7353.0,6358.0,995.0,155.0,0.0
WS,5,high_degree,7.0,15.0,1.0,1.0,641.0,1.0,20300.0,0.995,7383.0,6388.0,995.0,134.0,0.0
WS,5,bridge,7.0,14.0,1.0,1.0,621.0,1.0,20077.0,0.995,7366.0,6371.0,995.0,209.0,0.0
WS,5,peripheral,9.0,17.0,1.0,1.0,635.0,1.0,19923.0,0.995,7474.0,6479.0,995.0,188.0,0.0
WS,6,random,8.0,16.0,1.0,1.0,619.0,0.999,20635.0,0.995,7338.0,6343.0,994.0,156.0,0.0
WS,6,high_degree,6.0,13.0,1.0,1.0,647.0,1.0,20012.0,0.995,7173.0,6178.0,995.0,172.0,0.0
WS,6,bridge,6.0,12.0,1.0,1.0,626.0,1.0,19012.0,0.995,7313.0,6318.0,995.0,180.0,0.0
WS,6,peripheral,11.0,20.0,1.0,1.0,651.0,1.0,20457.0,0.995,7253.0,6258.0,995.0,174.0,0.0
WS,8,random,9.0,17.0,1.0,1.0,653.0,1.0,19612.0,0.995,7666.0,6671.0,995.0,143.0,0.0
WS,8,high_degree,7.0,15.0,1.0,1.0,604.0,0.999,19624.0,0.995,7536.0,6541.0,994.0,145.0,0.0
WS,8,bridge,8.0,16.0,1.0,1.0,632.0,1.0,20757.0,0.995,7576.0,6581.0,995.0,184.0,0.0
WS,8,peripheral,7.0,15.0,1.0,1.0,670.0,1.0,19579.0,0.995,7518.0,6523.0,995.0,137.0,0.0
WS,7,random,9.0,17.0,1.0,1.0,643.0,1.0,18576.0,0.995,7244.0,6249.0,995.0,139.0,0.0
WS,7,high_degree,8.0,16.0,1.0,1.0,619.0,1.0,19707.0,0.995,7390.0,6395.0,995.0,181.0,0.0
WS,7,bridge,8.0,15.0,1.0,1.0,630.0,0.999,19809.0,0.995,7534.0,6539.0,994.0,202.0,0.0
WS,7,peripheral,9.0,16.0,1.0,1.0,625.0,1.0,19424.0,0.995,7374.0,6379.0,995.0,166.0,0.0
WS,9,random,6.0,14.0,1.0,1.0,637.0,1.0,20185.0,0.995,7403.0,6408.0,995.0,170.0,0.0
WS,9,high_degree,6.0,13.0,1.0,1.0,631.0,1.0,20227.0,0.995,7235.0,6240.0,995.0,142.0,0.0
WS,9,bridge,7.0,15.0,1.0,1.0,651.0,1.0,20494.0,0.995,7502.0,6507.0,995.0,135.0,0.0
WS,9,peripheral,8.0,16.0,1.0,1.0,670.0,1.0,20957.0,0.995,7318.0,6323.0,995.0,165.0,0.0
WS,10,random,8.0,16.0,1.0,1.0,602.0,1.0,19365.0,0.995,7502.0,6507.0,995.0,139.0,0.0
WS,10,high_degree,7.0,14.0,1.0,1.0,639.0,1.0,20698.0,0.995,7402.0,6407.0,995.0,134.0,0.0
WS,10,bridge,7.0,13.0,1.0,1.0,606.0,1.0,19103.0,0.995,7135.0,6140.0,995.0,144.0,0.0
WS,10,peripheral,9.0,16.0,1.0,1.0,621.0,1.0,19605.0,0.995,7261.0,6266.0,995.0,140.0,0.0
WS,11,random,7.0,15.0,1.0,1.0,640.0,1.0,20224.0,0.995,7341.0,6346.0,995.0,138.0,0.0
WS,11,high_degree,6.0,14.0,1.0,1.0,642.0,0.998,19575.0,0.995,7419.0,6424.0,993.0,156.0,0.0
WS,11,bridge,9.0,17.0,1.0,1.0,630.0,1.0,20303.0,0.995,7929.0,6934.0,995.0,175.0,0.0
WS,11,peripheral,10.0,18.0,1.0,1.0,637.0,1.0,20232.0,0.995,7461.0,6466.0,995.0,134.0,0.0
WS,15,random,8.0,14.0,1.0,1.0,661.0,0.998,19480.0,0.995,7351.0,6356.0,993.0,132.0,0.0
WS,15,high_degree,6.0,13.0,1.0,1.0,646.0,1.0,20504.0,0.995,7617.0,6622.0,995.0,171.0,0.0
WS,15,bridge,8.0,15.0,1.0,1.0,661.0,0.999,21043.0,0.995,7407.0,6412.0,994.0,158.0,0.0
WS,15,peripheral,9.0,17.0,1.0,1.0,643.0,1.0,20337.0,0.995,7707.0,6712.0,995.0,180.0,0.0
WS,16,random,8.0,16.0,1.0,1.0,627.0,1.0,20351.0,0.995,7486.0,6491.0,995.0,144.0,0.0
WS,16,high_degree,7.0,15.0,1.0,1.0,657.0,0.999,20126.0,0.995,7371.0,6376.0,994.0,143.0,0.0
WS,16,bridge,8.0,15.0,1.0,1.0,655.0,1.0,20449.0,0.995,7346.0,6351.0,995.0,192.0,0.0
WS,16,peripheral,12.0,21.0,1.0,1.0,642.0,1.0,19584.0,0.995,7695.0,6700.0,995.0,153.0,0.0
WS,12,random,8.0,15.0,1.0,1.0,595.0,1.0,19869.0,0.995,7259.0,6264.0,995.0,150.0,0.0
WS,12,high_degree,8.0,17.0,1.0,1.0,634.0,1.0,20084.0,0.995,7492.0,6497.0,995.0,134.0,0.0
WS,12,bridge,7.0,14.0,1.0,1.0,651.0,1.0,20469.0,0.995,7504.0,6509.0,995.0,151.0,0.0
WS,12,peripheral,12.0,19.0,1.0,1.0,612.0,1.0,20137.0,0.995,7611.0,6616.0,995.0,202.0,0.0
WS,17,random,7.0,14.0,1.0,1.0,659.0,1.0,19453.0,0.995,7252.0,6257.0,995.0,162.0,0.0
WS,17,high_degree,7.0,14.0,1.0,1.0,663.0,1.0,21169.0,0.995,7163.0,6168.0,995.0,206.0,0.0
WS,17,bridge,6.0,14.0,1.0,1.0,581.0,1.0,19369.0,0.995,7687.0,6692.0,995.0,153.0,0.0
WS,17,peripheral,9.0,17.0,1.0,1.0,670.0,1.0,21028.0,0.995,7371.0,6376.0,995.0,157.0,0.0
WS,14,random,7.0,15.0,1.0,1.0,639.0,1.0,20089.0,0.995,7490.0,6495.0,995.0,160.0,0.0
WS,14,high_degree,7.0,14.0,1.0,1.0,614.0,0.999,19031.0,0.995,7248.0,6253.0,994.0,142.0,0.0
WS,14,bridge,7.0,15.0,1.0,1.0,643.0,1.0,19967.0,0.995,7643.0,6648.0,995.0,125.0,0.0
WS,14,peripheral,8.0,16.0,1.0,1.0,650.0,1.0,19991.0,0.995,7720.0,6725.0,995.0,183.0,0.0
WS,13,random,7.0,13.0,1.0,1.0,680.0,1.0,20968.0,0.995,7371.0,6376.0,995.0,145.0,0.0
WS,13,high_degree,7.0,14.0,1.0,1.0,648.0,1.0,20488.0,0.995,7098.0,6103.0,995.0,146.0,0.0
WS,13,bridge,7.0,14.0,1.0,1.0,658.0,0.999,19911.0,0.995,7609.0,6614.0,994.0,133.0,0.0
WS,13,peripheral,13.0,22.0,1.0,1.0,659.0,1.0,20847.0,0.995,7720.0,6725.0,995.0,193.0,0.0
WS,18,random,9.0,17.0,1.0,1.0,650.0,1.0,20277.0,0.995,7530.0,6535.0,995.0,155.0,0.0
WS,18,high_degree,6.0,13.0,1.0,1.0,670.0,1.0,20851.0,0.995,7100.0,6105.0,995.0,195.0,0.0
WS,18,bridge,7.0,15.0,1.0,1.0,630.0,1.0,19618.0,0.995,7494.0,6499.0,995.0,171.0,0.0
WS,18,peripheral,11.0,20.0,1.0,1.0,612.0,1.0,20197.0,0.995,7715.0,6720.0,995.0,170.0,0.0
WS,19,random,6.0,14.0,1.0,1.0,662.0,1.0,20754.0,0.995,7639.0,6644.0,995.0,138.0,0.0
WS,19,high_degree,7.0,15.0,1.0,1.0,625.0,1.0,19767.0,0.995,7924.0,6929.0,995.0,140.0,0.0
WS,19,bridge,7.0,14.0,1.0,1.0,654.0,1.0,20183.0,0.995,7496.0,6501.0,995.0,126.0,0.0
WS,19,peripheral,10.0,18.0,1.0,1.0,651.0,1.0,20183.0,0.995,7827.0,6832.0,995.0,174.0,0.0
BA,1,random,4.0,6.0,1.0,1.0,725.0,0.995,18943.0,0.995,7251.0,6256.0,990.0,132.0,0.0
BA,1,high_degree,2.0,5.0,1.0,1.0,750.0,0.995,20330.0,0.995,7405.0,6410.0,990.0,138.0,0.0
BA,1,bridge,2.0,5.0,1.0,1.0,731.0,0.996,19698.0,0.995,7469.0,6474.0,991.0,160.0,0.0
BA,1,peripheral,4.0,7.0,1.0,1.0,738.0,0.994,19299.0,0.995,7408.0,6413.0,989.0,145.0,0.0
BA,2,random,5.0,8.0,1.0,1.0,718.0,0.997,19590.0,0.995,7806.0,6811.0,992.0,157.0,0.0
BA,2,high_degree,2.0,5.0,1.0,1.0,737.0,0.998,18929.0,0.995,7395.0,6400.0,993.0,127.0,0.0
BA,2,bridge,2.0,5.0,1.0,1.0,738.0,0.995,20845.0,0.995,7358.0,6363.0,990.0,132.0,0.0
BA,2,peripheral,5.0,8.0,1.0,1.0,758.0,0.998,20888.0,0.995,7350.0,6355.0,993.0,149.0,0.0
BA,3,random,4.0,7.0,1.0,1.0,740.0,0.996,18742.0,0.995,7613.0,6618.0,991.0,114.0,0.0
BA,3,high_degree,2.0,5.0,1.0,1.0,751.0,0.994,19583.0,0.995,7858.0,6863.0,989.0,119.0,0.0
BA,3,bridge,2.0,5.0,1.0,1.0,765.0,0.996,20593.0,0.995,7333.0,6338.0,991.0,164.0,0.0
BA,3,peripheral,5.0,8.0,1.0,1.0,741.0,0.996,19587.0,0.995,7512.0,6517.0,991.0,160.0,0.0
BA,0,random,5.0,8.0,1.0,1.0,737.0,0.993,20312.0,0.995,7679.0,6684.0,988.0,190.0,0.0
BA,0,high_degree,2.0,5.0,1.0,1.0,724.0,0.999,20535.0,0.995,7551.0,6556.0,994.0,142.0,0.0
BA,0,bridge,2.0,5.0,1.0,1.0,747.0,0.996,20217.0,0.995,7537.0,6542.0,991.0,133.0,0.0
BA,0,peripheral,5.0,7.0,1.0,1.0,742.0,0.99,19130.0,0.995,7176.0,6181.0,985.0,136.0,0.0
BA,4,random,4.0,7.0,1.0,1.0,736.0,0.998,19797.0,0.995,7749.0,6754.0,993.0,167.0,0.0
BA,4,high_degree,2.0,5.0,1.0,1.0,755.0,0.994,19800.0,0.995,7430.0,6435.0,989.0,248.0,0.0
BA,4,bridge,2.0,5.0,1.0,1.0,716.0,0.994,19207.0,0.995,7275.0,6280.0,989.0,158.0,0.0
BA,4,peripheral,4.0,7.0,1.0,1.0,751.0,0.994,20719.0,0.995,7575.0,6580.0,989.0,178.0,0.0
BA,5,random,4.0,7.0,1.0,1.0,751.0,0.993,20238.0,0.995,7400.0,6405.0,988.0,183.0,0.0
BA,5,high_degree,2.0,5.0,1.0,1.0,743.0,0.997,21062.0,0.995,7340.0,6345.0,992.0,207.0,0.0
BA,5,bridge,2.0,5.0,1.0,1.0,766.0,0.997,20203.0,0.995,7422.0,6427.0,992.0,151.0,0.0
BA,5,peripheral,4.0,7.0,1.0,1.0,725.0,0.995,19474.0,0.995,7409.0,6414.0,990.0,135.0,0.0
BA,6,random,3.0,6.0,1.0,1.0,747.0,0.997,19796.0,0.995,7320.0,6325.0,992.0,123.0,0.0
BA,6,high_degree,2.0,5.0,1.0,1.0,734.0,0.994,20571.0,0.995,7592.0,6597.0,989.0,165.0,0.0
BA,6,bridge,2.0,5.0,1.0,1.0,730.0,0.991,20095.0,0.995,7654.0,6659.0,986.0,144.0,0.0
BA,6,peripheral,4.0,6.0,1.0,1.0,759.0,0.997,20512.0,0.995,7095.0,6100.0,992.0,161.0,0.0
BA,7,random,4.0,8.0,1.0,1.0,718.0,0.992,18703.0,0.995,7642.0,6647.0,987.0,161.0,0.0
BA,7,high_degree,2.0,5.0,1.0,1.0,737.0,0.999,19739.0,0.995,7781.0,6786.0,994.0,130.0,0.0
BA,7,bridge,2.0,5.0,1.0,1.0,739.0,0.997,20458.0,0.995,7333.0,6338.0,992.0,158.0,0.0
BA,7,peripheral,3.0,6.0,1.0,1.0,732.0,0.993,19694.0,0.995,7683.0,6688.0,988.0,148.0,0.0
BA,10,random,4.0,7.0,1.0,1.0,764.0,0.996,20400.0,0.995,7332.0,6337.0,991.0,139.0,0.0
BA,10,high_degree,2.0,5.0,1.0,1.0,760.0,0.991,20072.0,0.995,7079.0,6084.0,986.0,137.0,0.0
BA,10,bridge,2.0,5.0,1.0,1.0,701.0,0.992,19464.0,0.995,7443.0,6448.0,987.0,146.0,0.0
BA,10,peripheral,4.0,7.0,1.0,1.0,742.0,0.997,19664.0,0.995,7526.0,6531.0,992.0,151.0,0.0
BA,8,random,4.0,7.0,1.0,1.0,753.0,0.995,19338.0,0.995,7529.0,6534.0,990.0,125.0,0.0
BA,8,high_degree,2.0,5.0,1.0,1.0,746.0,0.999,20613.0,0.995,7641.0,6646.0,994.0,154.0,0.0
BA,8,bridge,2.0,6.0,1.0,1.0,722.0,0.992,20528.0,0.995,7873.0,6878.0,987.0,163.0,0.0
BA,8,peripheral,4.0,7.0,1.0,1.0,737.0,0.996,20294.0,0.995,7449.0,6454.0,991.0,185.0,0.0
BA,12,random,4.0,7.0,1.0,1.0,749.0,0.998,19121.0,0.995,7128.0,6133.0,993.0,131.0,0.0
