topology,trial,family,beta,gamma,initial_spreaders,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
ER,7,beta_gamma,0.15,0.05,5,7.0,11.0,1.0,1.0,698.0,0.991,20453.0,0.991,7626.0,6635.0,986.0,186.0,0.0
ER,7,beta_gamma,0.15,0.1,5,6.0,10.0,1.0,1.0,555.0,0.974,9763.0,0.991,7365.0,6374.0,969.0,76.0,0.0
ER,7,seed_count,0.15,0.05,1,8.0,11.0,1.0,1.0,715.0,0.986,20933.0,0.995,7292.0,6297.0,985.0,160.0,0.0
ER,7,seed_count,0.15,0.05,5,5.0,9.0,1.0,1.0,732.0,0.991,19368.0,0.991,7519.0,6528.0,986.0,133.0,0.0
ER,7,seed_count,0.15,0.05,10,5.0,9.0,1.0,1.0,732.0,0.992,19949.0,0.985,7451.0,6466.0,982.0,155.0,0.0
ER,6,beta_gamma,0.005,0.05,5,,,0.0,0.0,6.0,0.009,207.0,0.047,1064.0,1017.0,4.0,82.0,0.0
ER,6,beta_gamma,0.005,0.1,5,,,0.0,0.0,5.0,0.006,44.0,0.044,339.0,295.0,1.0,17.0,0.0
ER,6,beta_gamma,0.01,0.05,5,,,0.0,0.0,7.0,0.012,216.0,0.066,1057.0,991.0,7.0,62.0,0.0
ER,6,beta_gamma,0.01,0.1,5,,,0.0,0.0,7.0,0.016,179.0,0.108,1189.0,1081.0,11.0,43.0,0.0
ER,6,beta_gamma,0.02,0.05,5,51.0,107.0,1.0,1.0,147.0,0.735,14827.0,0.979,37001.0,36022.0,730.0,319.0,0.0
ER,6,beta_gamma,0.02,0.1,5,,,0.0,0.0,12.0,0.033,317.0,0.211,1825.0,1614.0,28.0,74.0,0.0
ER,6,beta_gamma,0.05,0.05,5,14.0,27.0,1.0,1.0,475.0,0.952,19494.0,0.993,19041.0,18048.0,947.0,160.0,0.0
ER,6,beta_gamma,0.05,0.1,5,17.0,31.0,1.0,1.0,272.0,0.864,8698.0,0.99,16807.0,15817.0,859.0,110.0,0.0
ER,6,beta_gamma,0.15,0.05,5,6.0,10.0,1.0,1.0,725.0,0.991,18953.0,0.993,7531.0,6538.0,986.0,160.0,0.0
ER,6,beta_gamma,0.15,0.1,5,6.0,11.0,1.0,1.0,599.0,0.985,10091.0,0.993,7573.0,6580.0,980.0,76.0,0.0
ER,6,seed_count,0.15,0.05,1,9.0,13.0,1.0,1.0,728.0,0.99,19543.0,0.997,7633.0,6636.0,989.0,162.0,0.0
ER,6,seed_count,0.15,0.05,5,5.0,9.0,1.0,1.0,744.0,0.993,20230.0,0.993,7255.0,6262.0,988.0,167.0,0.0
ER,6,seed_count,0.15,0.05,10,5.0,10.0,1.0,1.0,735.0,0.993,20015.0,0.988,7709.0,6721.0,983.0,187.0,0.0
ER,9,beta_gamma,0.005,0.05,5,,,0.0,0.0,8.0,0.018,379.0,0.12,2550.0,2430.0,13.0,112.0,0.0
ER,9,beta_gamma,0.005,0.1,5,,,0.0,0.0,5.0,0.005,35.0,0.019,165.0,146.0,0.0,17.0,0.0
ER,9,beta_gamma,0.01,0.05,5,233.0,,1.0,0.0,16.0,0.13,2711.0,0.529,11845.0,11316.0,125.0,433.0,0.0
ER,9,beta_gamma,0.01,0.1,5,,,0.0,0.0,7.0,0.016,125.0,0.09,570.0,480.0,11.0,53.0,0.0
ER,9,beta_gamma,0.02,0.05,5,47.0,103.0,1.0,1.0,169.0,0.705,14443.0,0.974,35845.0,34871.0,700.0,251.0,0.0
ER,9,beta_gamma,0.02,0.1,5,,,0.0,0.0,12.0,0.047,415.0,0.269,2302.0,2033.0,42.0,74.0,0.0
ER,9,beta_gamma,0.05,0.05,5,17.0,29.0,1.0,1.0,438.0,0.945,18603.0,0.986,19546.0,18560.0,940.0,159.0,0.0
ER,9,beta_gamma,0.05,0.1,5,18.0,32.0,1.0,1.0,229.0,0.843,8411.0,0.982,16402.0,15420.0,838.0,107.0,0.0
ER,9,beta_gamma,0.15,0.05,5,6.0,10.0,1.0,1.0,719.0,0.985,19865.0,0.987,7519.0,6532.0,980.0,160.0,0.0
ER,9,beta_gamma,0.15,0.1,5,7.0,11.0,1.0,1.0,572.0,0.972,9371.0,0.987,6856.0,5869.0,967.0,67.0,0.0
ER,9,seed_count,0.15,0.05,1,8.0,12.0,1.0,1.0,737.0,0.988,20621.0,0.991,7393.0,6402.0,987.0,127.0,0.0
ER,9,seed_count,0.15,0.05,5,5.0,10.0,1.0,1.0,702.0,0.981,18098.0,0.987,7514.0,6527.0,976.0,148.0,0.0
ER,9,seed_count,0.15,0.05,10,4.0,8.0,1.0,1.0,737.0,0.99,19958.0,0.982,6999.0,6017.0,980.0,224.0,0.0
ER,10,beta_gamma,0.005,0.05,5,,,0.0,0.0,5.0,0.006,107.0,0.035,675.0,640.0,1.0,56.0,0.0
ER,10,beta_gamma,0.005,0.1,5,,,0.0,0.0,5.0,0.005,22.0,0.028,142.0,114.0,0.0,9.0,0.0
ER,10,beta_gamma,0.01,0.05,5,200.0,,1.0,0.0,21.0,0.122,2279.0,0.493,9797.0,9304.0,117.0,293.0,0.0
ER,10,beta_gamma,0.01,0.1,5,,,0.0,0.0,6.0,0.007,55.0,0.038,360.0,322.0,2.0,18.0,0.0
ER,10,beta_gamma,0.02,0.05,5,,,0.0,0.0,11.0,0.023,302.0,0.114,1234.0,1120.0,18.0,50.0,0.0
ER,10,beta_gamma,0.02,0.1,5,,,0.0,0.0,9.0,0.013,103.0,0.067,424.0,357.0,8.0,29.0,0.0
ER,10,beta_gamma,0.05,0.05,5,16.0,29.0,1.0,1.0,450.0,0.959,19136.0,0.993,19251.0,18258.0,954.0,163.0,0.0
ER,10,beta_gamma,0.05,0.1,5,16.0,31.0,1.0,1.0,274.0,0.799,7714.0,0.989,15807.0,14818.0,794.0,101.0,0.0
ER,10,beta_gamma,0.15,0.05,5,6.0,10.0,1.0,1.0,705.0,0.989,18573.0,0.994,6958.0,5964.0,984.0,155.0,0.0
ER,10,beta_gamma,0.15,0.1,5,7.0,11.0,1.0,1.0,538.0,0.971,9634.0,0.993,7395.0,6402.0,966.0,73.0,0.0
ER,10,seed_count,0.15,0.05,1,10.0,14.0,1.0,1.0,725.0,0.994,20551.0,0.998,7606.0,6608.0,993.0,180.0,0.0
ER,10,seed_count,0.15,0.05,5,6.0,10.0,1.0,1.0,709.0,0.993,19518.0,0.994,7615.0,6621.0,988.0,211.0,0.0
ER,10,seed_count,0.15,0.05,10,5.0,9.0,1.0,1.0,704.0,0.989,20082.0,0.989,7543.0,6554.0,979.0,175.0,0.0
ER,11,beta_gamma,0.005,0.05,5,,,0.0,0.0,6.0,0.017,325.0,0.098,1612.0,1514.0,12.0,107.0,0.0
ER,11,beta_gamma,0.005,0.1,5,,,0.0,0.0,5.0,0.005,31.0,0.031,231.0,200.0,0.0,12.0,0.0
ER,11,beta_gamma,0.01,0.05,5,,,0.0,0.0,16.0,0.046,860.0,0.215,3986.0,3771.0,41.0,128.0,0.0
ER,11,beta_gamma,0.01,0.1,5,,,0.0,0.0,5.0,0.005,29.0,0.032,209.0,177.0,0.0,13.0,0.0
ER,11,beta_gamma,0.02,0.05,5,46.0,110.0,1.0,1.0,137.0,0.612,11947.0,0.977,31854.0,30877.0,607.0,300.0,0.0
ER,11,beta_gamma,0.02,0.1,5,,,0.0,0.0,17.0,0.056,564.0,0.287,2876.0,2589.0,51.0,88.0,0.0
ER,11,beta_gamma,0.05,0.05,5,14.0,24.0,1.0,1.0,483.0,0.947,19657.0,0.991,18802.0,17811.0,942.0,158.0,0.0
ER,11,beta_gamma,0.05,0.1,5,17.0,33.0,1.0,1.0,244.0,0.815,8287.0,0.989,16545.0,15556.0,810.0,118.0,0.0
ER,11,beta_gamma,0.15,0.05,5,5.0,9.0,1.0,1.0,732.0,0.99,19972.0,0.992,7424.0,6432.0,985.0,150.0,0.0
ER,11,beta_gamma,0.15,0.1,5,5.0,9.0,1.0,1.0,576.0,0.978,9698.0,0.992,7073.0,6081.0,973.0,86.0,0.0
ER,11,seed_count,0.15,0.05,1,8.0,12.0,1.0,1.0,731.0,0.989,19644.0,0.996,7222.0,6226.0,988.0,165.0,0.0
ER,11,seed_count,0.15,0.05,5,6.0,10.0,1.0,1.0,722.0,0.99,20157.0,0.992,7482.0,6490.0,985.0,159.0,0.0
ER,11,seed_count,0.15,0.05,10,5.0,8.0,1.0,1.0,754.0,0.993,19658.0,0.988,7355.0,6367.0,983.0,152.0,0.0
ER,13,beta_gamma,0.005,0.05,5,,,0.0,0.0,5.0,0.007,101.0,0.042,657.0,615.0,2.0,47.0,0.0
ER,13,beta_gamma,0.005,0.1,5,,,0.0,0.0,5.0,0.005,32.0,0.025,144.0,119.0,0.0,11.0,0.0
ER,13,beta_gamma,0.01,0.05,5,175.0,,1.0,0.0,18.0,0.199,3796.0,0.709,18222.0,17513.0,194.0,448.0,0.0
ER,13,beta_gamma,0.01,0.1,5,,,0.0,0.0,5.0,0.005,39.0,0.028,220.0,192.0,0.0,15.0,0.0
ER,13,beta_gamma,0.02,0.05,5,56.0,116.0,1.0,1.0,158.0,0.69,14179.0,0.978,36536.0,35558.0,685.0,384.0,0.0
ER,13,beta_gamma,0.02,0.1,5,,,0.0,0.0,12.0,0.084,870.0,0.379,4539.0,4160.0,79.0,190.0,0.0
