topology,trial,strategy,fraction,remaining_nodes,remaining_edges,components_after,lcc_fraction_original_n,incident_edges_blocked,incident_edge_fraction,cross_community_edges_blocked,approx_mean_path_after,protected_mean_degree
BA,5,collective_influence,0.05,950,1704,11,0.939,1287,0.43029087261785354,786,4.605263157894737,28.48
BA,5,collective_influence,0.1,900,1267,39,0.849,1724,0.5763958542293547,1022,6.189473684210526,20.01
BA,5,community_bridge,0.01,990,2419,1,0.99,572,0.19124038783015715,363,2.763157894736842,59.1
BA,5,community_bridge,0.05,950,1690,10,0.941,1301,0.43497158141089937,812,4.38421052631579,28.58
BA,5,community_bridge,0.1,900,1245,40,0.847,1746,0.5837512537612839,1063,5.473684210526316,20.13
BA,5,degree,0.01,990,2419,1,0.99,572,0.19124038783015715,363,2.763157894736842,59.1
BA,5,degree,0.05,950,1683,11,0.939,1308,0.4373119358074223,799,4.531578947368421,28.78
BA,5,degree,0.1,900,1228,41,0.849,1763,0.5894349715814109,1054,6.089473684210526,20.33
BA,5,eigenvector,0.01,990,2426,1,0.99,565,0.18890003343363423,356,2.8789473684210525,58.4
BA,5,eigenvector,0.05,950,1773,9,0.942,1218,0.40722166499498497,735,4.278947368421052,27.1
BA,5,eigenvector,0.1,900,1499,15,0.884,1492,0.49882982280173854,885,4.278947368421052,17.67
BA,5,kcore,0.01,990,2419,1,0.99,572,0.19124038783015715,363,2.763157894736842,59.1
BA,5,kcore,0.05,950,1683,11,0.939,1308,0.4373119358074223,799,4.531578947368421,28.78
BA,5,kcore,0.1,900,1228,41,0.849,1763,0.5894349715814109,1054,6.089473684210526,20.33
BA,5,pagerank,0.01,990,2419,1,0.99,572,0.19124038783015715,363,2.763157894736842,59.1
BA,5,pagerank,0.05,950,1681,11,0.939,1310,0.4379806084921431,799,4.442105263157894,28.78
BA,5,pagerank,0.1,900,1215,44,0.843,1776,0.5937813440320963,1058,5.426315789473684,20.33
BA,5,random,0.01,990,2946,1,0.99,45,0.015045135406218655,20,1.8105263157894738,4.5
BA,5,random,0.05,950,2736,1,0.95,255,0.08525576730190572,127,1.8157894736842106,5.2
BA,5,random,0.1,900,2446,1,0.9,545,0.18221330658642595,268,1.8,5.67
BA,6,betweenness,0.01,990,2502,1,0.99,489,0.16349047141424272,281,2.731578947368421,50.5
BA,6,betweenness,0.05,950,1756,8,0.943,1235,0.412905382815112,765,3.8105263157894735,27.34
BA,6,betweenness,0.1,900,1309,26,0.874,1682,0.5623537278502173,1009,5.573684210526316,19.45
BA,6,collective_influence,0.01,990,2498,2,0.989,493,0.16482781678368438,290,2.6894736842105265,51.0
BA,6,collective_influence,0.05,950,1717,11,0.94,1274,0.42594450016716817,780,4.436842105263158,28.22
BA,6,collective_influence,0.1,900,1252,41,0.85,1739,0.581410899364761,1054,5.657894736842105,20.2
BA,6,community_bridge,0.01,990,2494,2,0.989,497,0.16616516215312604,305,2.4526315789473685,51.3
BA,6,community_bridge,0.05,950,1723,7,0.944,1268,0.42393848211300567,792,4.473684210526316,27.98
BA,6,community_bridge,0.1,900,1228,48,0.841,1763,0.5894349715814109,1074,5.7894736842105265,20.35
BA,6,degree,0.01,990,2490,2,0.989,501,0.1675025075225677,302,2.4894736842105263,51.5
BA,6,degree,0.05,950,1714,9,0.942,1277,0.4269475091942494,781,4.5,28.28
BA,6,degree,0.1,900,1225,52,0.838,1766,0.5904379806084922,1069,5.989473684210527,20.4
BA,6,eigenvector,0.01,990,2503,2,0.989,488,0.1631561350718823,291,2.7,50.6
BA,6,eigenvector,0.05,950,1827,5,0.946,1164,0.3891675025075226,701,3.768421052631579,26.08
BA,6,eigenvector,0.1,900,1455,20,0.88,1536,0.5135406218655968,917,4.689473684210526,18.03
BA,6,kcore,0.01,990,2490,2,0.989,501,0.1675025075225677,302,2.4894736842105263,51.5
BA,6,kcore,0.05,950,1714,9,0.942,1277,0.4269475091942494,781,4.5,28.28
BA,6,kcore,0.1,900,1225,52,0.838,1766,0.5904379806084922,1069,5.989473684210527,20.4
BA,6,pagerank,0.01,990,2490,2,0.989,501,0.1675025075225677,302,2.4894736842105263,51.5
BA,6,pagerank,0.05,950,1713,9,0.942,1278,0.4272818455366098,780,4.484210526315789,28.28
BA,6,pagerank,0.1,900,1217,52,0.838,1774,0.5931126713473754,1068,5.963157894736842,20.4
BA,6,random,0.01,990,2931,1,0.99,60,0.020060180541624874,24,1.7842105263157895,6.1
BA,6,random,0.05,950,2680,1,0.95,311,0.10397860247408894,156,1.7842105263157895,6.42
BA,6,random,0.1,900,2424,1,0.9,567,0.18956870611835505,279,1.8210526315789475,5.98
BA,7,betweenness,0.01,990,2466,1,0.99,525,0.17552657973921765,310,2.721052631578947,54.2
BA,7,betweenness,0.05,950,1735,14,0.937,1256,0.4199264460046807,749,4.421052631578948,27.78
BA,7,betweenness,0.1,900,1273,50,0.843,1718,0.5743898361751922,1011,5.242105263157895,19.82
BA,7,collective_influence,0.01,990,2466,1,0.99,525,0.17552657973921765,314,2.6842105263157894,54.3
BA,7,collective_influence,0.05,950,1694,15,0.936,1297,0.43363423604145773,769,4.447368421052632,28.6
BA,7,collective_influence,0.1,900,1225,59,0.835,1766,0.5904379806084922,1046,5.721052631578948,20.44
BA,7,community_bridge,0.01,990,2463,1,0.99,528,0.1765295887662989,321,2.663157894736842,54.4
BA,7,community_bridge,0.05,950,1690,18,0.932,1301,0.43497158141089937,786,4.542105263157895,28.58
BA,7,community_bridge,0.1,900,1210,54,0.843,1781,0.5954530257438984,1068,5.889473684210526,20.48
BA,7,degree,0.01,990,2463,1,0.99,528,0.1765295887662989,321,2.663157894736842,54.4
BA,7,degree,0.05,950,1682,16,0.935,1309,0.4376462721497827,777,4.526315789473684,28.78
BA,7,degree,0.1,900,1192,60,0.835,1799,0.6014710799063858,1062,5.968421052631579,20.67
BA,7,eigenvector,0.01,990,2479,1,0.99,512,0.17118020728853225,305,2.7526315789473683,53.1
BA,7,eigenvector,0.05,950,1827,12,0.939,1164,0.3891675025075226,682,3.794736842105263,25.92
BA,7,eigenvector,0.1,900,1558,20,0.881,1433,0.4791039786024741,817,4.347368421052631,16.94
BA,7,kcore,0.01,990,2463,1,0.99,528,0.1765295887662989,321,2.663157894736842,54.4
BA,7,kcore,0.05,950,1682,16,0.935,1309,0.4376462721497827,777,4.526315789473684,28.78
BA,7,kcore,0.1,900,1192,60,0.835,1799,0.6014710799063858,1062,5.968421052631579,20.67
BA,7,pagerank,0.01,990,2463,1,0.99,528,0.1765295887662989,321,2.663157894736842,54.4
BA,7,pagerank,0.05,950,1682,16,0.935,1309,0.4376462721497827,777,4.526315789473684,28.78
BA,7,pagerank,0.1,900,1191,60,0.835,1800,0.6018054162487463,1063,5.8,20.67
BA,7,random,0.01,990,2953,1,0.99,38,0.012704781009695755,16,1.7842105263157895,3.8
BA,7,random,0.05,950,2699,1,0.95,292,0.09762621196924105,146,1.7842105263157895,5.98
BA,7,random,0.1,900,2472,1,0.9,519,0.17352056168505517,257,1.7842105263157895,5.39
BA,8,betweenness,0.01,990,2502,2,0.989,489,0.16349047141424272,305,2.5052631578947366,50.8
BA,8,betweenness,0.05,950,1777,13,0.935,1214,0.4058843196255433,738,4.268421052631579,26.82
BA,8,betweenness,0.1,900,1329,38,0.859,1662,0.555667001003009,988,5.2631578947368425,19.31
BA,8,collective_influence,0.01,990,2506,2,0.989,485,0.16215312604480106,309,2.594736842105263,50.5
BA,8,collective_influence,0.05,950,1754,11,0.94,1237,0.41357405549983284,755,4.673684210526316,27.38
BA,8,collective_influence,0.1,900,1297,41,0.852,1694,0.5663657639585423,1008,5.668421052631579,19.72
BA,8,community_bridge,0.01,990,2504,2,0.989,487,0.1628217987295219,313,2.5473684210526315,50.5
BA,8,community_bridge,0.05,950,1734,16,0.935,1257,0.4202607823470411,783,3.957894736842105,27.46
BA,8,community_bridge,0.1,900,1274,40,0.855,1717,0.5740554998328319,1044,5.378947368421053,19.84
BA,8,degree,0.01,990,2500,2,0.989,491,0.16415914409896357,310,2.4526315789473685,50.9
BA,8,degree,0.05,950,1726,13,0.938,1265,0.42293547308592444,776,4.410526315789474,27.66
BA,8,degree,0.1,900,1263,42,0.853,1728,0.5777331995987964,1033,5.573684210526316,19.95
BA,8,eigenvector,0.01,990,2517,1,0.99,474,0.1584754262788365,301,2.6578947368421053,49.6
BA,8,eigenvector,0.05,950,1837,8,0.943,1154,0.38582413908391844,695,4.226315789473684,25.86
BA,8,eigenvector,0.1,900,1504,21,0.88,1487,0.4971581410899365,881,4.7105263157894735,17.64
BA,8,kcore,0.01,990,2500,2,0.989,491,0.16415914409896357,310,2.4526315789473685,50.9
BA,8,kcore,0.05,950,1726,13,0.938,1265,0.42293547308592444,776,4.410526315789474,27.66
BA,8,kcore,0.1,900,1263,42,0.853,1728,0.5777331995987964,1033,5.573684210526316,19.95
BA,8,pagerank,0.01,990,2500,2,0.989,491,0.16415914409896357,310,2.4526315789473685,50.9
BA,8,pagerank,0.05,950,1721,13,0.938,1270,0.42460715479772654,783,4.2631578947368425,27.66
BA,8,pagerank,0.1,900,1260,44,0.851,1731,0.5787362086258776,1033,5.478947368421053,19.95
BA,8,random,0.01,990,2883,1,0.99,108,0.03610832497492478,62,1.8368421052631578,11.1
BA,8,random,0.05,950,2657,1,0.95,334,0.11166833834837847,163,1.8368421052631578,6.84
BA,8,random,0.1,900,2358,1,0.9,633,0.21163490471414242,322,2.0526315789473686,6.69
BA,9,betweenness,0.01,990,2387,1,0.99,604,0.2019391507856904,378,2.8684210526315788,62.3
BA,9,betweenness,0.05,950,1706,19,0.93,1285,0.4296221999331327,757,4.5,28.32
BA,9,betweenness,0.1,900,1306,39,0.857,1685,0.5633567368772986,963,6.094736842105263,19.47
BA,9,collective_influence,0.01,990,2377,3,0.988,614,0.20528251420929455,387,2.9894736842105263,63.3
BA,9,collective_influence,0.05,950,1684,19,0.931,1307,0.43697759946506187,773,4.573684210526316,28.78
BA,9,collective_influence,0.1,900,1248,50,0.838,1743,0.5827482447342026,1007,6.936842105263158,20.16
BA,9,community_bridge,0.01,990,2372,3,0.988,619,0.20695419592109662,390,2.9473684210526314,63.8
BA,9,community_bridge,0.05,950,1679,19,0.931,1312,0.4386492811768639,796,4.563157894736842,28.8
BA,9,community_bridge,0.1,900,1223,52,0.835,1768,0.591106653293213,1049,6.594736842105263,20.34
BA,9,degree,0.01,990,2369,1,0.99,622,0.20795720494817788,390,2.9,64.0
BA,9,degree,0.05,950,1660,21,0.928,1331,0.4450016716817118,789,4.726315789473684,29.14
BA,9,degree,0.1,900,1204,64,0.818,1787,0.5974590437980608,1035,6.668421052631579,20.56
BA,9,eigenvector,0.01,990,2377,3,0.988,614,0.20528251420929455,387,2.9894736842105263,63.3
BA,9,eigenvector,0.05,950,1790,14,0.936,1201,0.4015379471748579,714,4.4526315789473685,26.72
BA,9,eigenvector,0.1,900,1434,29,0.869,1557,0.5205616850551655,888,5.105263157894737,18.31
BA,9,kcore,0.01,990,2369,1,0.99,622,0.20795720494817788,390,2.9,64.0
BA,9,kcore,0.05,950,1660,21,0.928,1331,0.4450016716817118,789,4.726315789473684,29.14
BA,9,kcore,0.1,900,1204,64,0.818,1787,0.5974590437980608,1035,6.668421052631579,20.56
BA,9,pagerank,0.01,990,2369,1,0.99,622,0.20795720494817788,390,2.9,64.0
BA,9,pagerank,0.05,950,1660,21,0.928,1331,0.4450016716817118,789,4.726315789473684,29.14
BA,9,pagerank,0.1,900,1192,65,0.82,1799,0.6014710799063858,1042,6.3578947368421055,20.56
BA,9,random,0.01,990,2944,1,0.99,47,0.015713808090939484,24,1.805263157894737,4.8
BA,9,random,0.05,950,2699,1,0.95,292,0.09762621196924105,148,1.8157894736842106,5.96
BA,9,random,0.1,900,2443,1,0.9,548,0.18321631561350718,269,1.8526315789473684,5.73
BA,10,betweenness,0.01,990,2348,4,0.987,643,0.21497826813774656,419,2.8157894736842106,65.8
BA,10,betweenness,0.05,950,1623,19,0.931,1368,0.4573721163490471,859,4.515789473684211,29.86
BA,10,betweenness,0.1,900,1230,52,0.843,1761,0.5887662988966901,1069,5.273684210526316,20.23
BA,10,collective_influence,0.01,990,2354,4,0.987,637,0.21297225008358409,416,2.8684210526315788,65.8
BA,10,collective_influence,0.05,950,1594,22,0.928,1397,0.4670678702774992,880,4.673684210526316,30.56
BA,10,collective_influence,0.1,900,1153,72,0.815,1838,0.614510197258442,1115,6.247368421052632,21.15
BA,10,community_bridge,0.01,990,2354,4,0.987,637,0.21297225008358409,416,2.8684210526315788,65.8
BA,10,community_bridge,0.05,950,1583,28,0.921,1408,0.47074557004346373,897,4.647368421052631,30.64
BA,10,community_bridge,0.1,900,1140,65,0.821,1851,0.6188565697091274,1145,6.410526315789474,21.15
BA,10,degree,0.01,990,2348,3,0.988,643,0.21497826813774656,419,2.8789473684210525,66.0
BA,10,degree,0.05,950,1576,28,0.921,1415,0.47308592443998665,896,4.752631578947368,30.76
BA,10,degree,0.1,900,1125,76,0.81,1866,0.6238716148445336,1130,6.436842105263158,21.37
BA,10,eigenvector,0.01,990,2354,4,0.987,637,0.21297225008358409,416,2.8684210526315788,65.8
BA,10,eigenvector,0.05,950,1717,18,0.932,1274,0.42594450016716817,803,4.1947368421052635,28.18
BA,10,eigenvector,0.1,900,1449,28,0.872,1542,0.5155466399197592,931,4.6947368421052635,18.16
BA,10,kcore,0.01,990,2348,3,0.988,643,0.21497826813774656,419,2.8789473684210525,66.0
BA,10,kcore,0.05,950,1576,28,0.921,1415,0.47308592443998665,896,4.752631578947368,30.76
BA,10,kcore,0.1,900,1125,76,0.81,1866,0.6238716148445336,1130,6.436842105263158,21.37
BA,10,pagerank,0.01,990,2348,3,0.988,643,0.21497826813774656,419,2.8789473684210525,66.0
BA,10,pagerank,0.05,950,1573,30,0.919,1418,0.4740889334670679,896,4.605263157894737,30.76
BA,10,pagerank,0.1,900,1118,76,0.81,1873,0.6262119692410565,1132,5.8578947368421055,21.37
BA,10,random,0.01,990,2944,1,0.99,47,0.015713808090939484,21,1.8368421052631578,4.7
BA,10,random,0.05,950,2763,1,0.95,228,0.07622868605817452,104,1.8368421052631578,4.64
BA,10,random,0.1,900,2497,2,0.899,494,0.1651621531260448,235,1.894736842105263,5.26
BA,11,betweenness,0.01,990,2428,1,0.99,563,0.18823136074891342,337,2.9368421052631577,58.2
BA,11,betweenness,0.05,950,1715,12,0.938,1276,0.426613172851889,787,4.2894736842105265,28.1
BA,11,betweenness,0.1,900,1298,37,0.861,1693,0.5660314276161819,1016,5.631578947368421,19.6
BA,11,collective_influence,0.01,990,2414,1,0.99,577,0.19291206954195922,351,2.8105263157894735,59.6
BA,11,collective_influence,0.05,950,1687,21,0.929,1304,0.4359745904379806,797,4.368421052631579,28.72
BA,11,collective_influence,0.1,900,1255,47,0.851,1736,0.5804078903376797,1035,5.7894736842105265,20.14
BA,11,community_bridge,0.01,990,2414,1,0.99,577,0.19291206954195922,358,2.5842105263157893,59.2
