family,value,topology,trial,beta,gamma,initial_spreaders,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
seed_count,5,ER,10,0.02,0.05,5,50.0,97.0,1.0,1.0,185.0,0.687,13887.0,0.976,32959.0,31983.0,682.0,231.0,0.0
seed_count,10,ER,10,0.15,0.05,10,5.0,9.0,1.0,1.0,737.0,0.987,19148.0,0.985,7368.0,6383.0,977.0,161.0,0.0
seed_count,10,ER,10,0.02,0.05,10,35.0,99.0,1.0,1.0,135.0,0.67,13188.0,0.966,32978.0,32012.0,660.0,353.0,0.0
seed_count,1,ER,11,0.15,0.05,1,8.0,12.0,1.0,1.0,701.0,0.989,20278.0,0.999,7402.0,6403.0,988.0,162.0,0.0
seed_count,1,ER,11,0.02,0.05,1,57.0,120.0,1.0,1.0,127.0,0.69,13468.0,0.982,34231.0,33249.0,689.0,397.0,0.0
seed_count,5,ER,11,0.15,0.05,5,7.0,11.0,1.0,1.0,723.0,0.996,19779.0,0.995,7415.0,6420.0,991.0,133.0,0.0
seed_count,5,ER,11,0.02,0.05,5,,,0.0,0.0,7.0,0.015,160.0,0.082,807.0,725.0,10.0,54.0,0.0
seed_count,10,ER,11,0.15,0.05,10,5.0,9.0,1.0,1.0,719.0,0.994,20454.0,0.99,7203.0,6213.0,984.0,204.0,0.0
seed_count,10,ER,11,0.02,0.05,10,20.0,69.0,1.0,1.0,152.0,0.768,16496.0,0.978,36281.0,35303.0,758.0,241.0,0.0
seed_count,1,ER,12,0.15,0.05,1,9.0,13.0,1.0,1.0,730.0,0.995,20557.0,0.999,7623.0,6624.0,994.0,158.0,0.0
seed_count,1,ER,12,0.02,0.05,1,,,0.0,0.0,3.0,0.007,91.0,0.045,407.0,362.0,6.0,50.0,0.0
seed_count,5,ER,12,0.15,0.05,5,6.0,9.0,1.0,1.0,752.0,0.994,19336.0,0.995,7528.0,6533.0,989.0,125.0,0.0
