family,value,topology,trial,nodes,edges,mean_degree,density,clustering,transitivity,assortativity,components,lcc_fraction,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
n,500.0,WS,15,500,1500,6.0,0.012024048096192385,0.45222222222222225,0.4382287436132582,-0.013572141772656771,1,1.0,7.0,14.0,1.0,1.0,334.0,1.0,10241.0,0.99,3632.0,3137.0,495.0,116.0,0.0
n,500.0,WS,17,500,1500,6.0,0.012024048096192385,0.4512111111111111,0.43636363636363634,-0.03739217425771616,1,1.0,4.0,11.0,1.0,1.0,295.0,0.992,9699.0,0.99,3910.0,3415.0,491.0,131.0,0.0
n,500.0,WS,18,500,1500,6.0,0.012024048096192385,0.4386285714285714,0.4200234649980446,-0.004386504324999527,1,1.0,6.0,13.0,1.0,1.0,332.0,1.0,9652.0,0.99,3649.0,3154.0,495.0,177.0,0.0
n,500.0,WS,19,500,1500,6.0,0.012024048096192385,0.44053015873015877,0.42829127990587007,-0.026439329363355413,1,1.0,7.0,14.0,1.0,1.0,342.0,1.0,10629.0,0.99,3817.0,3322.0,495.0,175.0,0.0
n,500.0,BA,0,500,1491,5.964,0.01195190380761523,0.05668892464998386,0.02842530282637954,-0.12572224813628752,1,1.0,5.0,8.0,1.0,1.0,338.0,0.992,9515.0,0.99,3918.0,3423.0,491.0,137.0,0.0
n,500.0,BA,1,500,1491,5.964,0.01195190380761523,0.05389386518598966,0.030783263025880744,-0.10449692952518999,1,1.0,4.0,6.0,1.0,1.0,371.0,0.994,9659.0,0.99,3518.0,3023.0,492.0,137.0,0.0
n,500.0,BA,2,500,1491,5.964,0.01195190380761523,0.038885330579729184,0.026964337489127282,-0.08869413405368082,1,1.0,4.0,7.0,1.0,1.0,385.0,0.996,10298.0,0.99,3547.0,3052.0,493.0,146.0,0.0
n,500.0,BA,4,500,1491,5.964,0.01195190380761523,0.05962350883139756,0.03391045434494927,-0.08878769870913189,1,1.0,5.0,8.0,1.0,1.0,356.0,0.992,9386.0,0.99,3759.0,3264.0,491.0,200.0,0.0
n,500.0,BA,5,500,1491,5.964,0.01195190380761523,0.05343403682602535,0.026551503518873962,-0.1219780270939505,1,1.0,4.0,7.0,1.0,1.0,392.0,0.998,10311.0,0.99,3651.0,3156.0,494.0,136.0,0.0
n,500.0,BA,6,500,1491,5.964,0.01195190380761523,0.03965907455834386,0.02773880882540492,-0.08551865544618072,1,1.0,5.0,8.0,1.0,1.0,348.0,0.992,9630.0,0.99,3844.0,3349.0,491.0,138.0,0.0
n,500.0,BA,3,500,1491,5.964,0.01195190380761523,0.043439750389794723,0.02691047093324133,-0.08848581793183335,1,1.0,3.0,6.0,1.0,1.0,370.0,0.99,9846.0,0.99,3665.0,3170.0,490.0,166.0,0.0
n,500.0,BA,7,500,1491,5.964,0.01195190380761523,0.04381495901364008,0.027948070681572304,-0.0985521601471281,1,1.0,5.0,7.0,1.0,1.0,362.0,0.994,9435.0,0.99,3748.0,3253.0,492.0,100.0,0.0
n,500.0,BA,8,500,1491,5.964,0.01195190380761523,0.04496560090879774,0.029257849666983825,-0.08133588287772324,1,1.0,4.0,7.0,1.0,1.0,383.0,0.998,9630.0,0.99,3725.0,3230.0,494.0,111.0,0.0
n,500.0,BA,12,500,1491,5.964,0.01195190380761523,0.052076747910336424,0.02779864763335838,-0.07250856272236107,1,1.0,4.0,7.0,1.0,1.0,375.0,0.992,9879.0,0.99,3738.0,3243.0,491.0,169.0,0.0
n,500.0,BA,9,500,1491,5.964,0.01195190380761523,0.07287342394833729,0.03358770960939853,-0.10212704604120411,1,1.0,4.0,7.0,1.0,1.0,374.0,0.99,9557.0,0.99,3680.0,3185.0,490.0,152.0,0.0
n,500.0,BA,11,500,1491,5.964,0.01195190380761523,0.047288943430167145,0.028467024223492662,-0.10845842457440899,1,1.0,4.0,7.0,1.0,1.0,375.0,0.984,9547.0,0.99,3830.0,3335.0,487.0,168.0,0.0
n,500.0,BA,10,500,1491,5.964,0.01195190380761523,0.06117179845332177,0.029258882160655912,-0.09216650775415561,1,1.0,3.0,7.0,1.0,1.0,350.0,0.996,9762.0,0.99,3729.0,3234.0,493.0,117.0,0.0
n,500.0,BA,13,500,1491,5.964,0.01195190380761523,0.04784969324766495,0.03279797125950972,-0.06277421259848001,1,1.0,4.0,7.0,1.0,1.0,361.0,0.994,10175.0,0.99,3967.0,3472.0,492.0,199.0,0.0
n,500.0,BA,14,500,1491,5.964,0.01195190380761523,0.05427537362416357,0.029331976941336046,-0.11174593624803791,1,1.0,4.0,7.0,1.0,1.0,366.0,0.982,10037.0,0.99,3506.0,3011.0,486.0,121.0,0.0
n,500.0,BA,15,500,1491,5.964,0.01195190380761523,0.056391143412191126,0.030777441736345845,-0.12324599472929607,1,1.0,4.0,7.0,1.0,1.0,370.0,1.0,10354.0,0.99,3760.0,3265.0,495.0,120.0,0.0
n,500.0,BA,16,500,1491,5.964,0.01195190380761523,0.049397410320271264,0.02970121987153044,-0.102147223804446,1,1.0,4.0,6.0,1.0,1.0,380.0,0.998,10202.0,0.99,3440.0,2945.0,494.0,197.0,0.0
n,500.0,BA,17,500,1491,5.964,0.01195190380761523,0.05493068632547169,0.03154628512325461,-0.09722847362529,1,1.0,3.0,6.0,1.0,1.0,352.0,0.996,9558.0,0.99,3662.0,3167.0,493.0,138.0,0.0
n,500.0,BA,18,500,1491,5.964,0.01195190380761523,0.05667312971823711,0.032060833376149615,-0.1055569887891643,1,1.0,5.0,8.0,1.0,1.0,367.0,0.992,10084.0,0.99,3850.0,3355.0,491.0,137.0,0.0
n,500.0,BA,19,500,1491,5.964,0.01195190380761523,0.05367897346640276,0.030724789915966385,-0.07673120114668272,1,1.0,4.0,7.0,1.0,1.0,361.0,0.998,9682.0,0.99,3586.0,3091.0,494.0,173.0,0.0
