topology,trial,strategy,fraction,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
BA,4,eigenvector,0.01,5.0,9.0,1.0,1.0,689.0,0.977,19423.0,0.984,7400.0,6416.0,972.0,160.0,0.01
BA,4,eigenvector,0.05,9.0,15.0,1.0,1.0,548.0,0.89,18205.0,0.927,6486.0,5559.0,885.0,194.0,0.05
BA,4,eigenvector,0.1,9.0,18.0,1.0,1.0,470.0,0.827,17374.0,0.86,5942.0,5082.0,822.0,163.0,0.1
BA,4,kcore,0.01,5.0,9.0,1.0,1.0,704.0,0.975,19892.0,0.984,6919.0,5935.0,970.0,184.0,0.01
BA,4,kcore,0.05,9.0,17.0,1.0,1.0,551.0,0.905,17999.0,0.931,6124.0,5193.0,900.0,134.0,0.05
BA,4,kcore,0.1,15.0,28.0,1.0,1.0,381.0,0.778,14855.0,0.83,5000.0,4170.0,773.0,189.0,0.1
BA,4,pagerank,0.01,5.0,9.0,1.0,1.0,709.0,0.979,20486.0,0.984,6890.0,5906.0,974.0,128.0,0.01
BA,4,pagerank,0.05,10.0,17.0,1.0,1.0,548.0,0.886,18006.0,0.928,6165.0,5237.0,881.0,148.0,0.05
BA,4,pagerank,0.1,15.0,29.0,1.0,1.0,388.0,0.777,16544.0,0.825,5045.0,4220.0,772.0,184.0,0.1
BA,4,random,0.01,6.0,9.0,1.0,1.0,724.0,0.986,19562.0,0.985,7208.0,6223.0,981.0,138.0,0.01
BA,4,random,0.05,7.0,10.0,1.0,1.0,702.0,0.945,19570.0,0.945,7001.0,6056.0,940.0,162.0,0.05
BA,4,random,0.1,3.0,7.0,1.0,1.0,637.0,0.894,17664.0,0.895,6413.0,5518.0,889.0,151.0,0.1
BA,5,betweenness,0.01,7.0,11.0,1.0,1.0,656.0,0.969,18878.0,0.985,6898.0,5913.0,964.0,151.0,0.01
BA,5,betweenness,0.05,9.0,17.0,1.0,1.0,547.0,0.888,18962.0,0.924,6746.0,5822.0,883.0,192.0,0.05
BA,5,betweenness,0.1,14.0,24.0,1.0,1.0,417.0,0.793,15612.0,0.849,5282.0,4433.0,788.0,177.0,0.1
BA,5,collective_influence,0.01,6.0,10.0,1.0,1.0,634.0,0.966,18762.0,0.984,7074.0,6090.0,961.0,162.0,0.01
BA,5,collective_influence,0.05,12.0,18.0,1.0,1.0,499.0,0.873,17042.0,0.923,6090.0,5167.0,868.0,141.0,0.05
BA,5,collective_influence,0.1,11.0,25.0,1.0,1.0,369.0,0.766,14877.0,0.824,5419.0,4595.0,761.0,223.0,0.1
BA,5,community_bridge,0.01,5.0,9.0,1.0,1.0,684.0,0.976,19247.0,0.985,6801.0,5816.0,971.0,228.0,0.01
