topology,n,edges,repeat,strategy,graph_seconds,ranking_seconds
WS,1000,3000,0,community_bridge,0.003580099990358576,0.3236873999994714
WS,1000,3000,1,degree,0.00660939997760579,0.001705200003925711
WS,1000,3000,1,betweenness,0.00660939997760579,0.23986989998957142
WS,1000,3000,1,pagerank,0.00660939997760579,0.005345200013834983
WS,1000,3000,1,eigenvector,0.00660939997760579,0.2859873999841511
WS,1000,3000,1,kcore,0.00660939997760579,0.0028227000148035586
WS,1000,3000,1,collective_influence,0.00660939997760579,0.012441800005035475
WS,1000,3000,1,community_bridge,0.00660939997760579,0.38762839999981225
BA,2000,5991,0,degree,0.01268539999728091,0.003397200023755431
BA,2000,5991,0,betweenness,0.01268539999728091,0.5327002000121865
BA,2000,5991,0,pagerank,0.01268539999728091,0.010136800003238022
BA,2000,5991,0,eigenvector,0.01268539999728091,0.0993101000203751
BA,2000,5991,0,kcore,0.01268539999728091,0.00705839999136515
BA,2000,5991,0,collective_influence,0.01268539999728091,0.13345209998078644
BA,2000,5991,0,community_bridge,0.01268539999728091,1.8506102999963332
BA,2000,5991,1,degree,0.016521999990800396,0.002814000006765127
BA,2000,5991,1,betweenness,0.016521999990800396,0.4883609999960754
BA,2000,5991,1,pagerank,0.016521999990800396,0.010555200016824529
BA,2000,5991,1,eigenvector,0.016521999990800396,0.12264710001181811
BA,2000,5991,1,kcore,0.016521999990800396,0.006781899981433526
BA,2000,5991,1,collective_influence,0.016521999990800396,0.10931300002266653
BA,2000,5991,1,community_bridge,0.016521999990800396,1.8639556000125594
WS,2000,6000,0,degree,0.006878300016978756,0.0016948000120464712
WS,2000,6000,0,betweenness,0.006878300016978756,0.4437175999919418
WS,2000,6000,0,pagerank,0.006878300016978756,0.009699599992018193
WS,2000,6000,0,eigenvector,0.006878300016978756,0.546224899997469
WS,2000,6000,0,kcore,0.006878300016978756,0.005718100001104176
WS,2000,6000,0,collective_influence,0.006878300016978756,0.02383590000681579
WS,2000,6000,0,community_bridge,0.006878300016978756,0.9380381000228226
WS,2000,6000,1,degree,0.006705300009343773,0.0016673000063747168
WS,2000,6000,1,betweenness,0.006705300009343773,0.46556609999970533
WS,2000,6000,1,pagerank,0.006705300009343773,0.009907899977406487
WS,2000,6000,1,eigenvector,0.006705300009343773,0.710205200011842
WS,2000,6000,1,kcore,0.006705300009343773,0.005670699989423156
WS,2000,6000,1,collective_influence,0.006705300009343773,0.02429229998961091
WS,2000,6000,1,community_bridge,0.006705300009343773,1.0436815000139177
