topology,trial,behavior,fraction,strategy,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
ER,2,moderate,0.05,betweenness,8.0,13.0,1.0,1.0,637.0,0.933,19028.0,0.939,7106.0,6167.0,928.0,131.0,0.05
ER,2,moderate,0.05,kcore,6.0,11.0,1.0,1.0,633.0,0.935,18459.0,0.94,7056.0,6116.0,930.0,161.0,0.05
ER,2,moderate,0.05,collective_influence,7.0,12.0,1.0,1.0,648.0,0.939,19351.0,0.941,6911.0,5970.0,934.0,176.0,0.05
ER,2,moderate,0.05,community_bridge,7.0,13.0,1.0,1.0,609.0,0.929,17364.0,0.94,7434.0,6494.0,924.0,145.0,0.05
ER,2,strong,0.05,random,7.0,12.0,1.0,1.0,608.0,0.927,18237.0,0.942,8506.0,7564.0,922.0,153.0,0.05
ER,2,strong,0.05,degree,8.0,14.0,1.0,1.0,577.0,0.925,17757.0,0.94,9077.0,8137.0,920.0,126.0,0.05
ER,2,strong,0.05,betweenness,5.0,12.0,1.0,1.0,598.0,0.922,18642.0,0.936,8853.0,7917.0,917.0,172.0,0.05
ER,2,strong,0.05,kcore,7.0,15.0,1.0,1.0,560.0,0.911,18803.0,0.939,9654.0,8715.0,906.0,178.0,0.05
ER,2,strong,0.05,collective_influence,7.0,14.0,1.0,1.0,590.0,0.918,18272.0,0.94,9017.0,8077.0,913.0,128.0,0.05
ER,2,strong,0.05,community_bridge,8.0,13.0,1.0,1.0,607.0,0.928,19062.0,0.939,8867.0,7928.0,923.0,159.0,0.05
ER,2,degree_correlated,0.05,random,9.0,12.0,1.0,1.0,695.0,0.937,19150.0,0.941,6319.0,5378.0,932.0,175.0,0.05
ER,2,degree_correlated,0.05,degree,7.0,12.0,1.0,1.0,665.0,0.94,19502.0,0.94,6430.0,5490.0,935.0,220.0,0.05
ER,2,degree_correlated,0.05,betweenness,6.0,10.0,1.0,1.0,678.0,0.932,19721.0,0.937,6154.0,5217.0,927.0,136.0,0.05
ER,2,degree_correlated,0.05,kcore,6.0,10.0,1.0,1.0,649.0,0.928,17409.0,0.939,6344.0,5405.0,923.0,112.0,0.05
ER,2,degree_correlated,0.05,collective_influence,6.0,10.0,1.0,1.0,669.0,0.936,18487.0,0.941,6265.0,5324.0,931.0,135.0,0.05
ER,2,degree_correlated,0.05,community_bridge,6.0,10.0,1.0,1.0,680.0,0.939,19768.0,0.94,6282.0,5342.0,934.0,200.0,0.05
