topology,metric,strategy,mean_difference,percent_difference,t,p,cohen_dz,wilcoxon_W,wilcoxon_p,holm_p,holm_wilcoxon_p
ER,final_size,betweenness,-0.0044899999999999584,-0.47856069407287755,-9.186483174428128,6.506273211823219e-15,-0.9186483174428127,390.0,8.536244620472032e-13,3.903763927093932e-14,5.975371234330423e-12
ER,final_size,collective_influence,-0.00229999999999997,-0.24514244907964683,-4.637628438753389,1.0789633149331117e-05,-0.4637628438753389,1296.0,6.186949376264977e-05,2.1579266298662234e-05,0.00012373898752529954
ER,final_size,community_bridge,-0.002909999999999967,-0.3101584899225102,-6.944835492844112,4.02674690248108e-10,-0.6944835492844111,733.5,3.267691444751087e-09,1.610698760992432e-09,1.3070765779004348e-08
ER,final_size,degree,-0.003039999999999965,-0.3240143674791858,-6.9033304521038295,4.905677278346553e-10,-0.6903330452103829,722.5,1.1688840098140213e-08,1.610698760992432e-09,3.5066520294420643e-08
ER,final_size,eigenvector,-0.0015399999999999826,-0.16413885720985075,-3.3070326211732564,0.0013147571502637604,-0.3307032621173256,1356.5,0.002282427363068561,0.0013147571502637604,0.002282427363068561
ER,final_size,kcore,-0.003659999999999961,-0.39009624505717805,-7.7456758329902895,8.379545262444483e-12,-0.774567583299029,427.0,1.8490579965634543e-10,4.1897726312222416e-11,9.245289982817271e-10
ER,final_size,pagerank,-0.00488999999999996,-0.5211941634780343,-9.23492032742954,5.102826995393628e-15,-0.9234920327429541,396.0,2.618835318572565e-12,3.57197889677554e-14,1.571301191143539e-11
ER,unique_exposed_fraction,betweenness,-0.002389999999999974,-0.2537882407908822,-11.923083011303438,7.493475671582668e-21,-1.192308301130344,94.5,1.6716015965075823e-14,5.2454329701078675e-20,1.1701211175553077e-13
ER,unique_exposed_fraction,collective_influence,-0.000519999999999996,-0.05521752519299546,-2.9153670435692898,0.004394048411269522,-0.291536704356929,897.5,0.006963857783087915,0.013182145233808566,0.020891573349263746
ER,unique_exposed_fraction,community_bridge,-0.00045999999999999817,-0.048846272286111554,-2.630079100425447,0.009899692531943905,-0.26300791004254476,984.5,0.011902033232272093,0.01979938506388781,0.023804066464544187
ER,unique_exposed_fraction,degree,-0.0011399999999999943,-0.12105380523079808,-5.849320613835612,6.384983213926258e-08,-0.5849320613835612,512.5,3.7920059456846747e-07,2.5539932855705034e-07,1.5168023782738699e-06
ER,unique_exposed_fraction,eigenvector,-0.00019999999999999684,-0.02123750968961347,-1.211060141638983,0.22875542772755753,-0.12110601416389831,1450.0,0.3996045815757592,0.22875542772755753,0.3996045815757592
ER,unique_exposed_fraction,kcore,-0.0011899999999999934,-0.12636318265320143,-6.078852686609792,2.2715780542366438e-08,-0.6078852686609791,403.5,1.500930955430942e-07,1.135789027118322e-07,7.50465477715471e-07
ER,unique_exposed_fraction,pagerank,-0.002329999999999981,-0.24741698788399877,-9.43225440451079,1.895148497555854e-15,-0.943225440451079,204.5,5.873552762886309e-13,1.1370890985335123e-14,3.5241316577317856e-12
ER,attempted_exposures,betweenness,-127.7,-1.8370902332111962,-4.8468673791199395,4.652051449716312e-06,-0.484686737911994,1179.5,6.134455698139147e-06,9.304102899432625e-06,1.8403367094417438e-05
ER,attempted_exposures,collective_influence,-121.03,-1.7411357159401024,-4.999689035428447,2.4845912425962177e-06,-0.4999689035428447,1326.0,3.746839549030322e-05,7.453773727788653e-06,6.700700037583157e-05
ER,attempted_exposures,community_bridge,-112.34,-1.6161215097803117,-4.757682349864375,6.675306654655396e-06,-0.47576823498643755,1286.5,3.3503500187915786e-05,9.304102899432625e-06,6.700700037583157e-05
ER,attempted_exposures,degree,-149.44,-2.149841538379649,-5.999342406450866,3.255565661277933e-08,-0.5999342406450866,963.5,7.91779979597358e-08,2.0948617919733598e-07,5.542459857181506e-07
ER,attempted_exposures,eigenvector,-121.76,-1.751637484696909,-5.477487546961857,3.2795649452658405e-07,-0.5477487546961858,1090.5,8.12538002738719e-07,1.3118259781063362e-06,4.062690013693595e-06
ER,attempted_exposures,kcore,-163.08,-2.3460663683013463,-6.0179843502993435,2.992659702819085e-08,-0.6017984350299344,1023.0,2.412087132099974e-07,2.0948617919733598e-07,1.4472522792599844e-06
ER,attempted_exposures,pagerank,-154.92,-2.228676733978688,-5.554835062783586,2.342970275736061e-07,-0.5554835062783586,1111.5,1.1733019978609207e-06,1.1714851378680304e-06,4.693207991443683e-06
ER,peak_infected,betweenness,-22.29,-3.283977900552486,-10.059585557517515,8.11036624913637e-17,-1.0059585557517516,394.5,2.3610021119299475e-13,3.244146499654548e-16,9.44400844771979e-13
ER,peak_infected,collective_influence,-20.02,-2.949539594843462,-9.208455012176712,5.827334390049297e-15,-0.9208455012176712,480.0,5.393133894850407e-12,1.1654668780098593e-14,1.0786267789700814e-11
ER,peak_infected,community_bridge,-20.24,-2.98195211786372,-9.702395360240924,4.878942622002195e-16,-0.9702395360240925,404.5,4.911767215430857e-13,1.4636827866006584e-15,1.473530164629257e-12
ER,peak_infected,degree,-24.66,-3.633149171270718,-12.52305931435489,3.9555744863775848e-22,-1.252305931435489,187.5,1.4068342044291758e-15,2.7689021404643093e-21,9.84783943100423e-15
ER,peak_infected,eigenvector,-14.28,-2.103867403314917,-6.916373926259423,4.6107317382460186e-10,-0.6916373926259423,788.5,3.933083720399039e-09,4.6107317382460186e-10,3.933083720399039e-09
ER,peak_infected,kcore,-25.48,-3.7539594843462245,-11.408266760988095,9.567465688373642e-20,-1.1408266760988093,223.5,3.859077604392404e-15,4.783732844186821e-19,1.929538802196202e-14
ER,peak_infected,pagerank,-26.71,-3.9351749539594842,-11.986970770410517,5.470454969721097e-21,-1.1986970770410519,222.0,2.3919099544929954e-15,3.282272981832658e-20,1.4351459726957973e-14
WS,active_spreader_auc,betweenness,-70.1,-0.36846932795084264,-0.7434928850008117,0.4589441744165698,-0.07434928850008118,2293.0,0.4250489325593674,1.0,1.0
WS,active_spreader_auc,collective_influence,-53.67,-0.2821076866065867,-0.6765594050670749,0.5002632162899667,-0.0676559405067075,2301.5,0.544802853552875,1.0,1.0
WS,active_spreader_auc,community_bridge,-18.79,-0.0987666001739848,-0.22280032051971516,0.8241499540362286,-0.02228003205197152,2514.0,0.9698298768422945,1.0,1.0
WS,active_spreader_auc,degree,-84.38,-0.4435298415476763,-0.9963837366802702,0.3214928807457762,-0.09963837366802702,2288.5,0.4161224144740061,1.0,1.0
WS,active_spreader_auc,eigenvector,-58.52,-0.3076009282693768,-0.6881218850143008,0.49298525157015183,-0.06881218850143009,2281.5,0.40246177001776895,1.0,1.0
WS,active_spreader_auc,kcore,-75.68,-0.3977996967092693,-0.8928779044197551,0.3740878308957875,-0.08928779044197552,2157.0,0.2057605271314703,1.0,1.0
WS,active_spreader_auc,pagerank,-7.5,-0.03942253865379915,-0.08655257753398676,0.9312019779910986,-0.008655257753398676,2522.0,0.9917699809400412,1.0,1.0
WS,final_size,betweenness,-0.0007899999999999996,-0.08322447431629512,-2.760857985553224,0.006871015427331622,-0.2760857985553225,607.5,0.013963613657304405,0.020613046281994864,0.041890840971913215
WS,final_size,collective_influence,-0.0005200000000000005,-0.05478066663857408,-2.184514811787896,0.03128471933514909,-0.2184514811787896,693.0,0.04360810297037154,0.048591714718774506,0.06727223241073604
WS,final_size,community_bridge,-0.0005000000000000004,-0.052673717921705845,-2.2874785549890704,0.024295857359387253,-0.22874785549890703,608.0,0.03363611620536802,0.048591714718774506,0.06727223241073604
