behavior,topology,strategy,t10,t10,t50,t50,reached_50,reached_50,final_size,final_size,active_spreader_auc,active_spreader_auc,unique_exposed_fraction,unique_exposed_fraction,attempted_exposures,attempted_exposures
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
homogeneous,ER,collective_influence,7.05,0.8255779474818964,12.15,1.0399898784932577,1.0,0.0,0.93625,0.003998354924873832,18561.05,655.4552034153139,0.9404499999999999,0.0021144863753589952,6832.8,155.6749650291983
homogeneous,ER,community_bridge,6.9,0.8522416262267903,11.65,1.1367080817685316,1.0,0.0,0.93405,0.0030344513073769994,18496.65,636.9852741419414,0.94055,0.0019049796241485007,6798.0,132.9249887401874
homogeneous,ER,degree,6.65,1.0894228312566052,11.6,1.2311740225021848,1.0,0.0,0.93205,0.005325954325159396,18706.95,604.0121535026823,0.9397,0.00234183913331289,6835.1,206.50956394317433
homogeneous,ER,kcore,6.9,0.6407232755171874,11.85,0.812727700887249,1.0,0.0,0.9344000000000001,0.003858006029844363,18613.1,593.4401845439681,0.9401999999999999,0.0023973669767168356,6859.8,268.96910407585574
homogeneous,ER,random,6.1,0.6407232755171874,10.35,0.6708203932499369,1.0,0.0,0.93765,0.0038013155617496255,18767.75,434.4085967696398,0.9416,0.001818038271845427,6977.65,180.0874860493615
homogeneous,WS,betweenness,9.1,0.911909506128992,18.85,1.5652475842498526,1.0,0.0,0.9484999999999999,0.0021398475105532744,19036.25,485.8199661126377,0.94475,0.0011180339887498945,7062.2,212.95010534963595
homogeneous,WS,collective_influence,9.75,1.7129537431920892,20.4,2.3033156878497434,1.0,0.0,0.94855,0.0019049796241485573,18922.15,689.5449510174691,0.945,0.0,6986.6,180.4060916231402
homogeneous,WS,community_bridge,8.9,1.119210247874531,19.35,2.1830688201896455,1.0,0.0,0.9487,0.0015252264715358431,18893.25,568.5600347877911,0.9449,0.00044721359549996516,6977.0,190.1539542470508
homogeneous,WS,degree,9.15,1.3088765773505315,19.45,1.9324105480761045,1.0,0.0,0.9466999999999999,0.004964081512541648,18958.5,611.9745866756574,0.9436499999999999,0.003543340677650735,6986.8,220.604098831034
homogeneous,WS,kcore,9.45,1.2343760409722457,19.5,1.3954814298487213,1.0,0.0,0.9471499999999999,0.0033759988775253764,18916.15,389.9889708292028,0.9439,0.002447340124341226,7036.2,200.3062392280487
homogeneous,WS,random,8.9,1.252366181526625,17.4,1.5008769366431645,1.0,0.0,0.9494,0.0008207826816681305,19148.45,613.077180253326,0.945,0.0,7038.95,212.38110605825162
