beta,topology,strategy,t10,t10,t50,t50,reached_50,reached_50,final_size,final_size,active_spreader_auc,active_spreader_auc,unique_exposed_fraction,unique_exposed_fraction,attempted_exposures,attempted_exposures
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0.02,WS,collective_influence,91.0,,,,0.0,0.0,0.056299999999999996,0.04759046786467797,1085.8,941.8657631475271,0.11779999999999999,0.08072148347705735,2544.2,2026.1317720954714
0.02,WS,community_bridge,110.85714285714286,33.513323576495026,,,0.0,0.0,0.0945,0.07417866057169356,1950.35,1591.0818323921685,0.1878,0.12057563688625623,4356.9,3301.374959172713
0.02,WS,degree,159.0,77.0151500247408,,,0.0,0.0,0.0732,0.06250103157043427,1486.55,1359.363917619677,0.1525,0.10975690842661533,3541.6,2997.3133829797434
0.02,WS,kcore,174.4,100.6742270891612,,,0.0,0.0,0.08280000000000001,0.05990132236480787,1678.55,1338.5984608812623,0.1691,0.11024943012145352,3876.5,3035.2389917174737
0.02,WS,random,163.46153846153845,59.3852049259962,,,0.0,0.0,0.12465,0.07648823438934906,2457.1,1522.730577129886,0.26444999999999996,0.14385463240076038,6074.7,3607.8086234108778
0.05,BA,betweenness,26.526315789473685,5.928916155894409,55.94736842105263,7.137332867944177,0.95,0.22360679774997896,0.68845,0.16072221049801558,13634.35,3224.7230852145726,0.86765,0.19789079258387363,13829.0,3245.5878228434167
0.05,BA,collective_influence,30.8,7.50859157022281,62.95,11.812014401046348,1.0,0.0,0.71495,0.03327315181312026,14280.55,977.0632406941676,0.9016,0.011609433550713035,14263.45,685.2797719103293
0.05,BA,community_bridge,28.1,4.983129433134205,61.45,8.249242389456139,1.0,0.0,0.7114,0.02637662441991913,14313.5,803.5327589693171,0.8998000000000002,0.008275518746659686,14103.05,555.9606645494946
0.05,BA,degree,30.9,7.765646345146984,65.9,11.647904713317597,1.0,0.0,0.70685,0.03137930092140022,14043.5,951.1561109346987,0.8964500000000001,0.013728475976290278,14079.15,654.8615984755057
0.05,BA,kcore,34.4,10.683977181792022,71.15,14.232191087738205,1.0,0.0,0.708,0.0290063513915941,14209.8,878.2412209098723,0.8998000000000002,0.0071715813421705105,14262.5,643.784493199557
0.05,BA,random,12.4,4.134578193976414,22.65,4.891184336183448,1.0,0.0,0.8661999999999999,0.013399135871587527,17430.8,902.8638995178786,0.94465,0.0004893604849296015,17697.4,397.22622481932126
0.05,ER,betweenness,17.4,2.4365635853109104,33.25,3.006571749386755,1.0,0.0,0.8740500000000001,0.00831279926251967,17423.2,529.522287190614,0.9369,0.0025110283068684354,17746.0,428.3831290599071
0.05,ER,collective_influence,19.5,2.8003759146153744,36.2,3.4732057086698513,1.0,0.0,0.8726499999999999,0.014198869487985379,17484.7,878.3276034301603,0.9385,0.0028745709061939427,17617.65,447.74855196803657
