family,beta,gamma,initial_spreaders,topology,t10,t10,t50,t50,reached_50,reached_50,final_size,final_size,active_spreader_auc,active_spreader_auc,unique_exposed_fraction,unique_exposed_fraction,attempted_exposures,attempted_exposures
,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
beta_gamma,0.05,0.05,5,BA,10.65,3.1501879643167827,19.65,3.0826338704016356,1.0,0.0,0.9291500000000001,0.013697003129766783,18888.25,637.8475213766342,0.9949999999999999,0.0,19241.2,402.5719419197675
beta_gamma,0.05,0.05,5,ER,16.4,2.1126187291456167,29.3,2.957595040071009,1.0,0.0,0.9439499999999998,0.006984757841562056,19113.5,458.205711099513,0.9914999999999999,0.002115108557622128,19416.25,443.6754236814876
beta_gamma,0.05,0.05,5,WS,26.4,5.852574782003846,55.35,8.001809005994897,1.0,0.0,0.95845,0.01597193261878307,19096.95,724.9048921283252,0.99,0.007384193645177111,19553.15,503.1368208810763
beta_gamma,0.05,0.1,5,BA,12.55,4.547700402111865,24.15,4.847951276461777,1.0,0.0,0.7697499999999999,0.019931131427994755,7636.25,300.87799153390006,0.99445,0.0006863327411532401,15571.8,585.460376653774
beta_gamma,0.05,0.1,5,ER,19.5,6.435918942278479,36.6,7.63923391033696,1.0,0.0,0.8129,0.021718049733125792,8093.7,326.58457436095523,0.9869999999999999,0.003324549831021839,16342.45,407.4154061371449
beta_gamma,0.05,0.1,5,WS,36.73684210526316,14.031084955527843,112.9090909090909,27.761320377296702,0.55,0.5104177855340405,0.5012000000000001,0.18800940625964774,4981.55,1937.2710995516074,0.739,0.2338697343214358,10090.25,3764.647685689649
beta_gamma,0.15,0.05,5,BA,4.4,0.8207826816681232,7.45,0.8255779474818964,1.0,0.0,0.9936999999999999,0.002830287320359797,19656.25,625.6817649992939,0.9949999999999999,0.0,7472.9,213.18237806110884
beta_gamma,0.15,0.05,5,ER,6.0,0.6488856845230502,9.9,0.6407232755171873,1.0,0.0,0.99025,0.0031098316082352577,19520.4,605.8479399286495,0.9924,0.00178885438199984,7455.1,182.90374230006444
beta_gamma,0.15,0.05,5,WS,8.15,1.0399898784932575,16.1,1.1652874052533588,1.0,0.0,0.99985,0.00036634754853251194,19945.45,806.6639863301846,0.9949999999999999,0.0,7454.5,191.92665814123671
beta_gamma,0.15,0.1,5,BA,5.0,0.9176629354822471,8.1,0.7880689256524126,1.0,0.0,0.9759499999999999,0.0061256578594079646,9723.65,345.8941540261613,0.9949999999999999,0.0,7229.7,177.5147436426797
beta_gamma,0.15,0.1,5,ER,6.55,0.8255779474818964,10.65,0.812727700887249,1.0,0.0,0.9770999999999999,0.005014715188428228,9741.9,214.3823195773579,0.99225,0.0019432745018328117,7199.05,215.66969750303954
beta_gamma,0.15,0.1,5,WS,9.4,1.5008769366431642,18.1,2.0493901531919194,1.0,0.0,0.99465,0.004815271758194215,9941.4,290.8552542887414,0.99475,0.0007863975156570526,7395.75,179.33381839757016
seed_count,0.15,0.05,1,BA,7.0,1.8637822325921864,10.0,1.8637822325921864,1.0,0.0,0.99495,0.0027999060134601896,19945.2,539.8757751849765,0.999,0.0,7445.15,177.3311724904624
seed_count,0.15,0.05,1,ER,8.95,1.1909748329127614,12.85,1.3869694338832121,1.0,0.0,0.9900499999999999,0.002837252191822216,19960.05,579.9943261972935,0.9964999999999999,0.001762175688714043,7351.55,193.4328320795511
seed_count,0.15,0.05,1,WS,13.85,2.300457620378584,22.1,2.552604449123328,1.0,0.0,0.99975,0.0007163503994113733,19967.5,829.9073188583993,0.999,0.0,7482.95,188.65883298472366
seed_count,0.15,0.05,5,BA,4.25,0.7163503994113789,7.25,0.7163503994113788,1.0,0.0,0.9943500000000001,0.002796143961356716,19908.6,672.028539494222,0.9949999999999999,0.0,7487.1,181.85126947735705
seed_count,0.15,0.05,5,ER,5.8,0.894427190999916,10.05,1.0500626547722607,1.0,0.0,0.9902,0.0036649118607912632,19697.6,640.5412513935712,0.9924,0.00178885438199984,7459.35,156.98718519608363
seed_count,0.15,0.05,5,WS,8.25,0.910465468000326,16.2,1.3992479182911464,1.0,0.0,0.9997,0.0005712405705774893,19990.5,572.0228648356081,0.9949999999999999,0.0,7434.25,201.21103741829722
seed_count,0.15,0.05,10,BA,3.75,0.6386663736585052,6.65,0.7451598203705947,1.0,0.0,0.99565,0.0024553914898486164,19974.9,600.4794487915914,0.99,0.0,7434.4,211.97403018691733
seed_count,0.15,0.05,10,ER,4.65,0.4893604849295929,8.5,0.6882472016116854,1.0,0.0,0.9907,0.0024300747226977675,19885.15,552.6194345783402,0.9875,0.0018209309360006502,7320.5,210.9690673260442
seed_count,0.15,0.05,10,WS,5.85,0.6708203932499369,13.25,1.2513150976809202,1.0,0.0,0.99985,0.00036634754853252,19961.5,673.2260510329899,0.99,0.0,7398.25,183.56724710722855
